Method Nemenyi Holm Shaffer
WW 7.799538793E-12 7.113865053E-12 6.685318965E-12
ISCA 9.092726572E-12 8.193445922E-12 7.793765633E-12
NNA 1.513433823E-11 1.347122414E-11 1.297228991E-11
CWOA 3.439071250E-11 3.023359341E-11 2.947775357E-11
GOTLBO 2.806399335E-09 2.343806038E-09 2.066250060E-09
MABC 2.293141188E-08 1.839552821E-08 1.688356699E-08
PSO 2.550566380E-08 2.018030543E-08 1.877889533E-08
DE 1.709030264E-03 7.700026466E-04 7.512220942E-04
NDE 3.478439356E-01 1.223187466E-01 1.223187466E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
