Method Nemenyi Holm Shaffer
CWOA 2.182254377E-12 2.000621890E-12 1.870503752E-12
WW 2.505551322E-12 2.202682481E-12 2.147615419E-12
NNA 2.748024031E-12 2.385647235E-12 2.355449169E-12
DE 9.092726572E-12 7.693845561E-12 6.694644838E-12
GOTLBO 1.590216847E-11 1.293143370E-11 1.170818997E-11
ISCA 1.590216847E-11 1.293143370E-11 1.170818997E-11
MABC 1.895328339E-11 1.499600444E-11 1.395461524E-11
NDE 4.909969298E-08 3.183386688E-08 3.129430981E-08
PSO 6.579472700E-07 4.048906277E-07 4.048906277E-07
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
