Method Nemenyi Holm Shaffer
ISCA 1.980193787E-12 1.958433415E-12 1.697308960E-12
GOTLBO 4.950484467E-12 4.787281682E-12 4.243272400E-12
NNA 5.540501391E-11 5.053424346E-11 4.749001192E-11
MABC 8.750435931E-10 7.500373655E-10 7.500373655E-10
WW 2.806399335E-09 2.251287379E-09 2.066250060E-09
NDE 7.722998241E-09 6.110504103E-09 5.686163540E-09
CWOA 1.173939701E-08 9.030305392E-09 8.643292304E-09
PSO 1.239209717E-07 8.579144195E-08 7.898259735E-08
DE 1.318189966E-05 7.967082215E-06 7.967082215E-06
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
