Method Nemenyi Holm Shaffer
WW 2.263157786E-04 1.119143960E-04 1.119143960E-04
CWOA 1.709030264E-03 8.263443036E-04 8.075637513E-04
NNA 3.223208283E-03 1.487634592E-03 1.487634592E-03
ISCA 4.393947589E-03 1.979690672E-03 1.931405533E-03
GOTLBO 8.111683756E-02 3.030738986E-02 3.030738986E-02
PSO 1.000000000E+00 7.697674186E-01 7.697674186E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
