Method Nemenyi Holm Shaffer
CWOA 7.303586549E-06 4.253737221E-06 4.093218835E-06
NNA 2.544036543E-04 1.341909385E-04 1.341909385E-04
PSO 4.794004250E-04 2.423342808E-04 2.423342808E-04
WW 1.709030264E-03 7.700026466E-04 7.512220942E-04
ISCA 7.443557212E-02 2.862906620E-02 2.862906620E-02
GOTLBO 2.761882552E-01 1.001561805E-01 9.712114468E-02
MABC 9.585932659E-01 3.160197580E-01 3.160197580E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
