Method Nemenyi Holm Shaffer
WW 2.212812670E-02 1.240147760E-02 1.240147760E-02
PSO 2.361932626E-01 1.297765179E-01 1.245854572E-01
MABC 1.000000000E+00 9.647929963E-01 9.647929963E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00
CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00
