Method Nemenyi Holm Shaffer
GOTLBO 8.941696383E-08 7.173009187E-08 6.583446788E-08
PSO 2.890336517E-07 2.223335782E-07 2.128049963E-07
ISCA 1.371578761E-06 8.289761744E-07 8.289761744E-07
NNA 1.807785790E-06 1.072752007E-06 1.013154673E-06
CWOA 3.571688223E-06 2.080214020E-06 2.001715377E-06
WW 7.112951816E-04 3.361065144E-04 3.361065144E-04
MABC 7.251207993E-01 2.231140921E-01 2.231140921E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
