Method Nemenyi Holm Shaffer
PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ISCA 2.505551322E-12 2.395417198E-12 2.147615419E-12
GOTLBO 4.113549501E-10 3.661511094E-10 3.525899572E-10
MABC 1.036449593E-09 8.769958093E-10 7.631002497E-10
DE 5.294496663E-08 3.723602049E-08 3.374514357E-08
NNA 1.239209717E-07 8.170613519E-08 7.898259735E-08
CWOA 3.920259553E-07 2.369387642E-07 2.369387642E-07
WW 4.211556566E-07 2.499165435E-07 2.369387642E-07
NDE 1.029342602E-02 4.298353721E-03 4.298353721E-03
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
