Method Nemenyi Holm Shaffer
PSO 1.374012015E-12 1.223021684E-12 1.177724585E-12
GOTLBO 8.750435931E-10 6.923421836E-10 6.442628653E-10
MABC 2.293141188E-08 1.587559284E-08 1.461562515E-08
ISCA 3.513298208E-08 2.393675702E-08 2.239245012E-08
NNA 4.805307974E-08 3.221140510E-08 3.062723763E-08
CWOA 8.807960561E-08 5.613864973E-08 5.613864973E-08
WW 4.670036895E-07 2.822549772E-07 2.822549772E-07
DE 2.377600171E-06 1.332501195E-06 1.332501195E-06
NDE 1.000000000E+00 8.595675822E-01 8.595675822E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00
