N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 7.561172000E-03 7.678625000E-03 8.090648000E-03 8.701608000E-03 9.822209000E-03 1.132177000E-02 1.308104700E-02 1.529942800E-02 1.779133100E-02 2.028236400E-02 2.277058800E-02
1.016672606E+01 5.559722000E-03 5.603457000E-03 5.851037000E-03 6.225846000E-03 6.974594000E-03 7.994894000E-03 9.198896000E-03 1.074764300E-02 1.250683600E-02 1.428420500E-02 1.609057800E-02
1.033324570E+01 4.025967000E-03 4.034690000E-03 4.183497000E-03 4.412812000E-03 4.912071000E-03 5.602996000E-03 6.421292000E-03 7.492093000E-03 8.718783000E-03 9.967735000E-03 1.125450600E-02
1.049996187E+01 2.880612000E-03 2.873725000E-03 2.962790000E-03 3.102818000E-03 3.435215000E-03 3.901621000E-03 4.455402000E-03 5.190876000E-03 6.039191000E-03 6.908062000E-03 7.813296000E-03
1.066670514E+01 2.044646000E-03 2.031338000E-03 2.083729000E-03 2.168617000E-03 2.389325000E-03 2.703185000E-03 3.076774000E-03 3.579505000E-03 4.162788000E-03 4.763372000E-03 5.395329000E-03
1.083333839E+01 1.445771000E-03 1.430182000E-03 1.459630000E-03 1.510040000E-03 1.655772000E-03 1.866092000E-03 2.117249000E-03 2.459540000E-03 2.858958000E-03 3.272443000E-03 3.711785000E-03
1.100000000E+01 1.026589000E-03 1.006776000E-03 1.021637000E-03 1.050177000E-03 1.145435000E-03 1.285443000E-03 1.453483000E-03 1.685628000E-03 1.958236000E-03 2.242244000E-03 2.547256000E-03
1.116672606E+01 7.326460000E-04 7.166800000E-04 7.169860000E-04 7.314930000E-04 7.926640000E-04 8.849640000E-04 9.965230000E-04 1.153238000E-03 1.338723000E-03 1.533509000E-03 1.745475000E-03
1.133324570E+01 5.274050000E-04 5.138810000E-04 5.065550000E-04 5.119670000E-04 5.501300000E-04 6.099810000E-04 6.832270000E-04 7.883540000E-04 9.140720000E-04 1.047593000E-03 1.195246000E-03
1.149996187E+01 3.843520000E-04 3.714460000E-04 3.619970000E-04 3.615260000E-04 3.841540000E-04 4.219980000E-04 4.692090000E-04 5.391010000E-04 6.238820000E-04 7.152700000E-04 8.185410000E-04
1.166670514E+01 2.859770000E-04 2.729300000E-04 2.665930000E-04 2.589020000E-04 2.711000000E-04 2.940440000E-04 3.235950000E-04 3.694260000E-04 4.261700000E-04 4.885880000E-04 5.610860000E-04
1.183333839E+01 2.185120000E-04 2.062300000E-04 1.986890000E-04 1.891800000E-04 1.944530000E-04 2.073850000E-04 2.249900000E-04 2.544130000E-04 2.919430000E-04 3.343690000E-04 3.854210000E-04
1.200000000E+01 1.713350000E-04 1.596400000E-04 1.513870000E-04 1.434870000E-04 1.427350000E-04 1.489930000E-04 1.586110000E-04 1.768860000E-04 2.012550000E-04 2.298360000E-04 2.657780000E-04
1.216672606E+01 1.380430000E-04 1.277540000E-04 1.192060000E-04 1.112180000E-04 1.078930000E-04 1.098470000E-04 1.141860000E-04 1.249560000E-04 1.403490000E-04 1.592940000E-04 1.844990000E-04
1.233324570E+01 1.139050000E-04 1.046400000E-04 9.649400000E-05 8.863000000E-05 8.433400000E-05 8.361300000E-05 8.455700000E-05 9.033200000E-05 9.964300000E-05 1.119220000E-04 1.294810000E-04
1.249996187E+01 9.550300000E-05 8.760100000E-05 8.023300000E-05 7.259200000E-05 6.813300000E-05 6.587800000E-05 6.474600000E-05 6.729700000E-05 7.254800000E-05 8.024300000E-05 9.233500000E-05
1.266670514E+01 8.089100000E-05 7.435900000E-05 6.808500000E-05 6.117100000E-05 5.662500000E-05 5.362300000E-05 5.131900000E-05 5.186100000E-05 5.446400000E-05 5.905400000E-05 6.730900000E-05
1.283333839E+01 6.879300000E-05 6.358800000E-05 5.826300000E-05 5.234800000E-05 4.806800000E-05 4.483200000E-05 4.198100000E-05 4.132300000E-05 4.224800000E-05 4.477700000E-05 5.033500000E-05
1.300000000E+01 5.845700000E-05 5.442300000E-05 5.017400000E-05 4.518900000E-05 4.135800000E-05 3.821600000E-05 3.520600000E-05 3.391100000E-05 3.382100000E-05 3.499400000E-05 3.869400000E-05
