T file kT1 TDD TDD
320 001_320 36.232 1.000000E+10 0.000000E+0
320 002_320 36.232 1.468000E+10 0.000000E+0
320 003_320 36.232 2.154000E+10 0.000000E+0
320 004_320 36.232 3.162000E+10 0.000000E+0
320 005_320 36.232 4.642000E+10 0.000000E+0
320 006_320 36.232 6.813000E+10 0.000000E+0
320 007_320 36.232 1.000000E+11 0.000000E+0
320 008_320 36.232 1.468000E+11 0.000000E+0
320 009_320 36.232 2.154000E+11 0.000000E+0
320 010_320 36.232 3.162000E+11 0.000000E+0
320 011_320 36.232 4.642000E+11 0.000000E+0
320 012_320 36.232 6.813000E+11 0.000000E+0
320 013_320 36.232 1.000000E+12 0.000000E+0
320 014_320 36.232 1.468000E+12 0.000000E+0
320 015_320 36.232 2.154000E+12 0.000000E+0
320 016_320 36.232 3.162000E+12 0.000000E+0
320 017_320 36.232 4.642000E+12 0.000000E+0
320 018_320 36.232 6.813000E+12 0.000000E+0
320 019_320 36.232 1.000000E+13 0.000000E+0
