fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
UT1 8:53 301.8 38.42 1.527E+000 8.304E-006 2.220E-011 2.753 0.8978 1.311E+004 
UT10 11:54 321.5 36.06 1.540E+000 2.453E-005 2.524E-009 2.784 0.9844 7.295E+003 
UT11 12:13 324.7 35.71 1.542E+000 2.770E-005 4.126E-009 2.774 0.9908 6.418E+003 
UT12 12:31 327.6 35.39 1.543E+000 3.226E-005 6.357E-009 2.785 0.9952 5.637E+003 
UT13 12:49 330.1 35.12 1.545E+000 3.747E-005 1.373E-008 2.826 1.028 4.976E+003 
UT14 13:4 332.5 34.87 1.546E+000 3.841E-005 1.539E-008 2.751 1.026 4.350E+003 
UT2 9:13 305 38.01 1.529E+000 9.918E-006 5.097E-011 2.757 0.9094 1.211E+004 
UT3 9:30 307.3 37.73 1.531E+000 1.056E-005 6.886E-011 2.72 0.9161 1.141E+004 
UT4 9:50 309.4 37.47 1.532E+000 1.276E-005 2.544E-010 2.768 0.9615 1.078E+004 
UT5 10:13 312.2 37.14 1.534E+000 1.452E-005 3.858E-010 2.759 0.9609 9.947E+003 
UT6 10:35 313.8 36.95 1.535E+000 1.589E-005 5.431E-010 2.761 0.9633 9.479E+003 
UT7 10:56 315.3 36.77 1.536E+000 1.645E-005 5.031E-010 2.726 0.9527 9.045E+003 
UT8 11:19 317.4 36.53 1.537E+000 2.037E-005 3.018E-009 2.837 1.045 8.445E+003 
UT9 11:37 319.6 36.28 1.538E+000 2.094E-005 1.763E-009 2.757 0.9886 7.824E+003 
