N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 3.162e+16 325 1.182868543E+00 1.209933534E+00
1.468000E+10 3.162e+16 325 1.190699374E+00 1.209963075E+00
2.154000E+10 3.162e+16 325 1.196467837E+00 1.210006433E+00
3.162000E+10 3.162e+16 325 1.200641294E+00 1.210069405E+00
4.642000E+10 3.162e+16 325 1.203637565E+00 1.210160669E+00
6.813000E+10 3.162e+16 325 1.205799468E+00 1.210292392E+00
1.000000E+11 3.162e+16 325 1.207395218E+00 1.210480524E+00
1.468000E+11 3.162e+16 325 1.208631696E+00 1.210746292E+00
2.154000E+11 3.162e+16 325 1.209668352E+00 1.211116049E+00
3.162000E+11 3.162e+16 325 1.210627945E+00 1.211618525E+00
4.642000E+11 3.162e+16 325 1.211603322E+00 1.212281068E+00
6.813000E+11 3.162e+16 325 1.212657399E+00 1.213121182E+00
1.000000E+12 3.162e+16 325 1.213818203E+00 1.214135721E+00
1.468000E+12 3.162e+16 325 1.215591929E+00 1.215809723E+00
2.154000E+12 3.162e+16 325 1.220299900E+00 1.221293208E+00
3.162000E+12 3.162e+16 325 1.221525269E+00 1.221628200E+00
4.642000E+12 3.162e+16 325 1.222801246E+00 1.222871728E+00
6.813000E+12 3.162e+16 325 1.228886758E+00 1.229101325E+00
1.000000E+13 3.162e+16 325 1.230319473E+00 1.230354541E+00
