T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.249442635E+00 1.216241497E+00 3.320113800E-02 1.248529104E+00 1.215714092E+00 3.281501200E-02 9.135310000E-04 5.274050000E-04
295 1.250475699E+00 1.218221520E+00 3.225417900E-02 1.249669599E+00 1.217707639E+00 3.196196000E-02 8.061000000E-04 5.138810000E-04
300 1.252222329E+00 1.220616996E+00 3.160533300E-02 1.251494920E+00 1.220110441E+00 3.138447900E-02 7.274090000E-04 5.065550000E-04
305 1.254000442E+00 1.222659163E+00 3.134127900E-02 1.253320400E+00 1.222147196E+00 3.117320400E-02 6.800420000E-04 5.119670000E-04
310 1.255774705E+00 1.225255432E+00 3.051927300E-02 1.255110819E+00 1.224705302E+00 3.040551700E-02 6.638860000E-04 5.501300000E-04
315 1.256634633E+00 1.227618247E+00 2.901638600E-02 1.255958308E+00 1.227008266E+00 2.895004200E-02 6.763250000E-04 6.099810000E-04
320 1.255705883E+00 1.229277083E+00 2.642880000E-02 1.254996305E+00 1.228593856E+00 2.640244900E-02 7.095780000E-04 6.832270000E-04
325 1.251375541E+00 1.230803130E+00 2.057241100E-02 1.250623005E+00 1.230014776E+00 2.060822900E-02 7.525360000E-04 7.883540000E-04
330 1.241097475E+00 1.231611047E+00 9.486428000E-03 1.240317711E+00 1.230696975E+00 9.620736000E-03 7.797640000E-04 9.140720000E-04
335 1.220639753E+00 1.230644799E+00 -1.000504600E-02 1.219892011E+00 1.229597206E+00 -9.705195000E-03 7.477420000E-04 1.047593000E-03
340 1.184004392E+00 1.228389905E+00 -4.438551300E-02 1.183417644E+00 1.227194659E+00 -4.377701500E-02 5.867480000E-04 1.195246000E-03
