name time T kT_1 I
01RV 01rv.dat 295.9 39.18 1.174E-005
02RV 02rv.dat 295.9 39.18 1.178E-005
03RV 03rv.dat 298 38.91 1.048E-005
04RV 04rv.dat 298 38.91 1.041E-005
05RV 05rv.dat 300.1 38.63 1.042E-005
06RV 06rv.dat 300 38.65 1.071E-005
07RV 07rv.dat 300 38.65 1.074E-005
08RV 08rv.dat 302.1 38.38 1.117E-005
09RV 09rv.dat 302 38.39 1.123E-005
10RV 10rv.dat 302 38.39 1.093E-005
11RV 11rv.dat 302 38.39 1.124E-005
12RV 12rv.dat 305.1 38 1.166E-005
13RV 13rv.dat 305 38.01 1.154E-005
14RV 14rv.dat 305 38.01 1.177E-005
15RV 15rv.dat 305 38.01 1.160E-005
16RV 16rv.dat 307 37.77 1.264E-005
17RV 17rv.dat 307 37.77 1.402E-005
18RV 18rv.dat 307 37.77 1.272E-005
19RV 19rv.dat 307 37.77 1.312E-005
20RV 20rv.dat 310.1 37.39 1.477E-005
21RV 21rv.dat 310 37.4 1.462E-005
22RV 22rv.dat 310 37.4 1.366E-005
23RV 23rv.dat 310 37.4 1.458E-005
24RV 24rv.dat 312.1 37.15 1.565E-005
25RV 25rv.dat 312.1 37.15 1.288E-005
26RV 26rv.dat 312 37.16 1.533E-005
27RV 27rv.dat 312.1 37.15 1.261E-005
28RV 28rv.dat 315.1 36.8 1.551E-005
29RV 29rv.dat 315 36.81 1.418E-005
30RV 30rv.dat 315 36.81 1.406E-005
31RV 31rv.dat 317.1 36.56 1.608E-005
32RV 32rv.dat 317 36.57 1.585E-005
33RV 33rv.dat 317 36.57 1.588E-005
34RV 34rv.dat 320 36.23 1.604E-005
35RV 35rv.dat 320 36.23 1.630E-005
36RV 36rv.dat 320 36.23 1.542E-005
37RV 37rv.dat 322 36.01 1.698E-005
38RV 38rv.dat 322.1 36 1.725E-005
39RV 39rv.dat 322 36.01 1.746E-005
40RV 40rv.dat 325 35.67 1.795E-005
41RV 41rv.dat 325.1 35.66 1.846E-005
42RV 42rv.dat 325.1 35.66 1.842E-005
43RV 43rv.dat 327 35.46 1.777E-005
44RV 44rv.dat 327 35.46 1.852E-005
45RV 45rv.dat 330.1 35.12 2.007E-005
46RV 46rv.dat 330 35.13 2.054E-005
47RV 47rv.dat 330 35.13 2.060E-005
