name time T kT_1 I
01RV 01rv.dat 295.9 39.18 2.161E-007
02RV 02rv.dat 295.9 39.18 2.119E-007
03RV 03rv.dat 298 38.91 1.656E-007
04RV 04rv.dat 298 38.91 1.590E-007
05RV 05rv.dat 300.1 38.63 1.540E-007
06RV 06rv.dat 300 38.65 1.565E-007
07RV 07rv.dat 300 38.65 1.504E-007
08RV 08rv.dat 302.1 38.38 1.708E-007
09RV 09rv.dat 302 38.39 1.788E-007
10RV 10rv.dat 302 38.39 1.664E-007
11RV 11rv.dat 302 38.39 1.569E-007
12RV 12rv.dat 305.1 38 1.952E-007
13RV 13rv.dat 305 38.01 1.933E-007
14RV 14rv.dat 305 38.01 1.944E-007
15RV 15rv.dat 305 38.01 2.152E-007
16RV 16rv.dat 307 37.77 2.818E-007
17RV 17rv.dat 307 37.77 2.998E-007
18RV 18rv.dat 307 37.77 2.808E-007
19RV 19rv.dat 307 37.77 2.650E-007
20RV 20rv.dat 310.1 37.39 2.951E-007
21RV 21rv.dat 310 37.4 2.815E-007
22RV 22rv.dat 310 37.4 3.057E-007
23RV 23rv.dat 310 37.4 2.958E-007
24RV 24rv.dat 312.1 37.15 3.172E-007
25RV 25rv.dat 312.1 37.15 2.267E-007
26RV 26rv.dat 312 37.16 2.959E-007
27RV 27rv.dat 312.1 37.15 2.226E-007
28RV 28rv.dat 315.1 36.8 2.779E-007
29RV 29rv.dat 315 36.81 3.072E-007
30RV 30rv.dat 315 36.81 2.702E-007
31RV 31rv.dat 317.1 36.56 2.697E-007
32RV 32rv.dat 317 36.57 2.873E-007
33RV 33rv.dat 317 36.57 3.015E-007
34RV 34rv.dat 320 36.23 3.117E-007
35RV 35rv.dat 320 36.23 3.179E-007
36RV 36rv.dat 320 36.23 2.767E-007
37RV 37rv.dat 322 36.01 3.333E-007
38RV 38rv.dat 322.1 36 3.245E-007
39RV 39rv.dat 322 36.01 3.541E-007
40RV 40rv.dat 325 35.67 3.532E-007
41RV 41rv.dat 325.1 35.66 3.886E-007
42RV 42rv.dat 325.1 35.66 3.677E-007
43RV 43rv.dat 327 35.46 3.489E-007
44RV 44rv.dat 327 35.46 3.681E-007
45RV 45rv.dat 330.1 35.12 4.073E-007
46RV 46rv.dat 330 35.13 3.989E-007
47RV 47rv.dat 330 35.13 4.440E-007
