fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0817UW7S03 1393663410 0 555 2.163375225E+19 1.083902133E-06 4.900000000E-04 6.314136712E-01 3.197882804E+02 1.233772505E-03 
L0817UW7S05 1393663387 0 555 2.597396620E+19 1.569204852E-06 4.900000000E-04 6.322053936E-01 3.285395932E+02 1.430442068E-03 
L0817UW7S10 1393663367 0 555 3.163518750E+19 3.017619172E-06 4.900000000E-04 6.331711767E-01 3.395397893E+02 2.140896476E-03 
L0817UW7S15 1393663340 0 555 3.452817859E+19 5.248662649E-06 4.900000000E-04 6.339859737E-01 3.491062101E+02 2.512035224E-03 
L0817UW7S20 1393663315 0 555 3.494972842E+19 7.822099618E-06 4.900000000E-04 6.341687902E-01 3.512893891E+02 2.753537786E-03 
L0818W6S10 1393728669 0 555 1.353331214E+19 6.956738310E-07 4.900000000E-04 6.502184466E-01 6.072333905E+02 1.271192691E-03 
L0818W6S20 1393728669 0 555 2.393364426E+19 1.081922187E-06 4.900000000E-04 6.514411880E-01 6.330879958E+02 1.351777305E-03 
L0818W6S25 1393728786 0 555 2.561700434E+19 1.203140309E-06 4.900000000E-04 6.518113103E-01 6.411290862E+02 1.456389982E-03 
L0818W6S30 1393728672 0 555 2.891400561E+19 1.569123329E-06 4.900000000E-04 6.522505067E-01 6.508034522E+02 1.552361845E-03 
L0818W7S03 1393728672 0 555 2.187591511E+19 9.424599761E-07 4.900000000E-04 6.512871627E-01 6.297715104E+02 1.199134442E-03 
L0818W7S05 1393728672 0 555 2.649208913E+19 1.220698064E-06 4.900000000E-04 6.520604907E-01 6.466001007E+02 1.242582652E-03 
L0818W7S10 1393728672 0 555 3.488874716E+19 3.103266002E-06 4.900000000E-04 6.542681333E-01 6.971565212E+02 1.790552308E-03 
L0818W7S15 1393728672 0 555 3.656334855E+19 5.410192026E-06 4.900000000E-04 6.554415943E-01 7.256194243E+02 2.227402363E-03 
L0818W7S20 1393728672 0 555 3.901521776E+19 1.436136980E-05 4.900000000E-04 6.562113594E-01 7.449187244E+02 2.261975686E-03 
L0818W7S25 1393728672 0 555 4.023297715E+19 2.909090294E-05 4.900000000E-04 6.563737504E-01 7.490552539E+02 2.112517399E-03 
L0818W7S30 1393728672 0 555 4.118062849E+19 9.999999950E+01 4.900000000E-04 6.569455678E-01 7.638046504E+02 2.206803256E-03 
