N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 2.769931800E-02 2.744519300E-02 2.736165100E-02 2.731445300E-02
1.016672606E+01 1.978455400E-02 1.951873300E-02 1.940978900E-02 1.934528500E-02
1.033324570E+01 1.399980100E-02 1.374487100E-02 1.362709900E-02 1.355434400E-02
1.049996187E+01 9.827994000E-03 9.601109000E-03 9.488329000E-03 9.416242000E-03
1.066670514E+01 6.852246000E-03 6.661913000E-03 6.562356000E-03 6.496753000E-03
1.083333839E+01 4.749928000E-03 4.597221000E-03 4.513992000E-03 4.457559000E-03
1.100000000E+01 3.277238000E-03 3.158527000E-03 3.091444000E-03 3.044769000E-03
1.116672606E+01 2.253157000E-03 2.162900000E-03 2.110204000E-03 2.072718000E-03
1.133324570E+01 1.545571000E-03 1.477996000E-03 1.437511000E-03 1.408257000E-03
1.149996187E+01 1.059365000E-03 1.009495000E-03 9.790960000E-04 9.569740000E-04
1.166670514E+01 7.270580000E-04 6.908220000E-04 6.686250000E-04 6.525390000E-04
1.183333839E+01 5.010960000E-04 4.753520000E-04 4.597110000E-04 4.484940000E-04
1.200000000E+01 3.483250000E-04 3.305260000E-04 3.199640000E-04 3.125400000E-04
1.216672606E+01 2.455590000E-04 2.337010000E-04 2.269350000E-04 2.223250000E-04
1.233324570E+01 1.767300000E-04 1.691470000E-04 1.651140000E-04 1.625040000E-04
1.249996187E+01 1.306720000E-04 1.260760000E-04 1.238970000E-04 1.225800000E-04
1.266670514E+01 9.972800000E-05 9.710000000E-05 9.608200000E-05 9.551500000E-05
1.283333839E+01 7.863500000E-05 7.722100000E-05 7.685200000E-05 7.668300000E-05
1.300000000E+01 6.388100000E-05 6.315500000E-05 6.311100000E-05 6.312600000E-05
