N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 4.279344500E-02 4.345454400E-02 4.410317100E-02 4.486497200E-02
1.016672606E+01 3.117241100E-02 3.151798100E-02 3.190802300E-02 3.241480900E-02
1.033324570E+01 2.247439400E-02 2.259216500E-02 2.278650800E-02 2.309226700E-02
1.049996187E+01 1.606310100E-02 1.603811800E-02 1.610182800E-02 1.626516400E-02
1.066670514E+01 1.138945400E-02 1.129000500E-02 1.127708700E-02 1.134818300E-02
1.083333839E+01 8.015185000E-03 7.888291000E-03 7.837233000E-03 7.853507000E-03
1.100000000E+01 5.602318000E-03 5.475705000E-03 5.410657000E-03 5.397465000E-03
1.116672606E+01 3.893661000E-03 3.780836000E-03 3.715379000E-03 3.688703000E-03
1.133324570E+01 2.695033000E-03 2.600786000E-03 2.541713000E-03 2.511275000E-03
1.149996187E+01 1.861586000E-03 1.786202000E-03 1.736472000E-03 1.707892000E-03
1.166670514E+01 1.286800000E-03 1.228654000E-03 1.189140000E-03 1.165399000E-03
1.183333839E+01 8.935390000E-04 8.503440000E-04 8.207220000E-04 8.029310000E-04
1.200000000E+01 6.265850000E-04 5.959040000E-04 5.750530000E-04 5.630070000E-04
1.216672606E+01 4.466980000E-04 4.260620000E-04 4.123540000E-04 4.050860000E-04
1.233324570E+01 3.261230000E-04 3.131040000E-04 3.047400000E-04 3.008910000E-04
1.249996187E+01 2.453170000E-04 2.376690000E-04 2.329080000E-04 2.312520000E-04
1.266670514E+01 1.906500000E-04 1.864860000E-04 1.839300000E-04 1.834900000E-04
1.283333839E+01 1.528100000E-04 1.507100000E-04 1.493960000E-04 1.495450000E-04
1.300000000E+01 1.256510000E-04 1.246670000E-04 1.239990000E-04 1.243820000E-04
