d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.253135593E+00 1.219521855E+00 3.361373800E-02 1.252357414E+00 1.219078571E+00 3.327884300E-02 7.781790000E-04 4.432840000E-04
150 295 1.253910144E+00 1.059415787E+00 1.944943570E-01 1.253227706E+00 1.058802148E+00 1.944255580E-01 6.824380000E-04 6.136390000E-04
150 300 1.255340794E+00 1.223621288E+00 3.171950600E-02 1.254734169E+00 1.223205082E+00 3.152908700E-02 6.066250000E-04 4.162060000E-04
150 305 1.257218970E+00 1.074508371E+00 1.827105990E-01 1.256664957E+00 1.073786006E+00 1.828789510E-01 5.540130000E-04 7.223650000E-04
150 310 1.259278290E+00 1.228708244E+00 3.057004600E-02 1.258754128E+00 1.228256272E+00 3.049785600E-02 5.241620000E-04 4.519720000E-04
150 315 1.260502774E+00 1.090910051E+00 1.695927230E-01 1.259986183E+00 1.090080192E+00 1.699059910E-01 5.165910000E-04 8.298590000E-04
150 320 1.260230858E+00 1.233344518E+00 2.688634000E-02 1.259703276E+00 1.232826515E+00 2.687676100E-02 5.275820000E-04 5.180030000E-04
150 325 1.257206801E+00 1.104380582E+00 1.528262190E-01 1.256657795E+00 1.103494352E+00 1.531634430E-01 5.490060000E-04 8.862300000E-04
150 330 1.249033882E+00 1.236824470E+00 1.220941200E-02 1.248467868E+00 1.236171025E+00 1.229684300E-02 5.660140000E-04 6.534450000E-04
150 335 1.232052939E+00 1.107868625E+00 1.241843140E-01 1.231502895E+00 1.107036620E+00 1.244662750E-01 5.500440000E-04 8.320050000E-04
150 340 1.200612872E+00 1.235524778E+00 -3.491190600E-02 1.200157359E+00 1.234671351E+00 -3.451399200E-02 4.555130000E-04 8.534270000E-04
180 290 1.250511075E+00 1.217564931E+00 3.294614400E-02 1.249854861E+00 1.217180579E+00 3.267428200E-02 6.562140000E-04 3.843520000E-04
180 295 1.251441157E+00 1.056118885E+00 1.953222720E-01 1.250863578E+00 1.055571675E+00 1.952919030E-01 5.775790000E-04 5.472100000E-04
180 300 1.253122072E+00 1.221677787E+00 3.144428500E-02 1.252603562E+00 1.221315790E+00 3.128777200E-02 5.185100000E-04 3.619970000E-04
180 305 1.254888446E+00 1.070472795E+00 1.844156510E-01 1.254407400E+00 1.069823615E+00 1.845837850E-01 4.810460000E-04 6.491800000E-04
180 310 1.256729694E+00 1.226252281E+00 3.047741300E-02 1.256264414E+00 1.225868127E+00 3.039628700E-02 4.652800000E-04 3.841540000E-04
180 315 1.257778940E+00 1.086160074E+00 1.716188660E-01 1.257309370E+00 1.085405128E+00 1.719042420E-01 4.695700000E-04 7.549460000E-04
180 320 1.257244210E+00 1.230359049E+00 2.688516100E-02 1.256755475E+00 1.229889840E+00 2.686563500E-02 4.887350000E-04 4.692090000E-04
180 325 1.253654487E+00 1.099077063E+00 1.545774240E-01 1.253138860E+00 1.098266564E+00 1.548722960E-01 5.156270000E-04 8.104990000E-04
180 330 1.244707653E+00 1.232870687E+00 1.183696600E-02 1.244174018E+00 1.232246805E+00 1.192721300E-02 5.336350000E-04 6.238820000E-04
180 335 1.226534701E+00 1.101881778E+00 1.246529230E-01 1.226020198E+00 1.101127156E+00 1.248930420E-01 5.145030000E-04 7.546220000E-04
180 340 1.193555990E+00 1.230059835E+00 -3.650384500E-02 1.193143724E+00 1.229241294E+00 -3.609757000E-02 4.122660000E-04 8.185410000E-04
210 290 1.248343028E+00 1.215991679E+00 3.235134900E-02 1.247766500E+00 1.215647848E+00 3.211865200E-02 5.765280000E-04 3.438310000E-04
210 295 1.249636947E+00 1.053627747E+00 1.960092000E-01 1.249127895E+00 1.053128640E+00 1.959992550E-01 5.090520000E-04 4.991070000E-04
210 300 1.251432272E+00 1.220333517E+00 3.109875500E-02 1.250971215E+00 1.219994476E+00 3.097673900E-02 4.610570000E-04 3.390410000E-04
210 305 1.252909030E+00 1.067199544E+00 1.857094860E-01 1.252475494E+00 1.066605793E+00 1.858697010E-01 4.335360000E-04 5.937510000E-04
210 310 1.254638367E+00 1.224719460E+00 2.991890700E-02 1.254211649E+00 1.224345887E+00 2.986576200E-02 4.267180000E-04 3.735730000E-04
210 315 1.255581509E+00 1.082307174E+00 1.732743350E-01 1.255143227E+00 1.081611732E+00 1.735314950E-01 4.382820000E-04 6.954420000E-04
210 320 1.254698840E+00 1.228165837E+00 2.653300300E-02 1.254235596E+00 1.227717075E+00 2.651852100E-02 4.632440000E-04 4.487620000E-04
210 325 1.250738643E+00 1.094730261E+00 1.560083820E-01 1.250245113E+00 1.093978741E+00 1.562663720E-01 4.935300000E-04 7.515200000E-04
210 330 1.239893152E+00 1.229575578E+00 1.031757400E-02 1.239382231E+00 1.228970448E+00 1.041178300E-02 5.109210000E-04 6.051300000E-04
210 335 1.221156356E+00 1.096066011E+00 1.250903450E-01 1.220667592E+00 1.095374431E+00 1.252931610E-01 4.887640000E-04 6.915800000E-04
210 340 1.187614166E+00 1.225365211E+00 -3.775104500E-02 1.187233847E+00 1.224571008E+00 -3.733716100E-02 3.803190000E-04 7.942030000E-04
