fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
0L01 8:16:02 293.1 39.56 1.000E+000 8.311E-001 1.904E-011 6.584E+002 2.852E+000 3.998E-006 1.957E-004 1.180E-001 1.955E-004 5.957E-006 2.583E-001 6.031E-002 9.876E-005 6.774E-003 
0L02 8:35:08 296.9 39.05 1.000E+000 1.052E+000 3.254E-011 6.722E+002 2.785E+000 4.346E-006 1.941E-004 1.181E-001 1.937E-004 5.934E-006 2.594E-001 6.063E-002 9.789E-005 1.983E-003 
0L03 8:51:52 299.7 38.69 1.000E+000 1.071E+000 5.192E-011 6.882E+002 2.783E+000 5.051E-006 1.952E-004 1.195E-001 1.949E-004 6.075E-006 2.609E-001 6.250E-002 9.721E-005 4.174E-003 
0L04 9:09:46 302.5 38.33 1.000E+000 1.091E+000 8.174E-011 6.993E+002 2.759E+000 5.599E-006 1.989E-004 1.217E-001 1.985E-004 6.339E-006 2.623E-001 6.500E-002 9.753E-005 4.440E-003 
0L05 9:26:52 305.7 37.93 1,000E+000 1,056E+000 1,466E-010 7,168E+002 2,755E+000 6,612E-006 1,988E-004 1,219E-001 1,985E-004 6,394E-006 2,644E-001 6,500E-002 9,837E-005 8,861E-004 
0L06 9:42:34 308.9 37.53 1.000E+000 1.099E+000 2.271E-010 7.279E+002 2.715E+000 7.312E-006 1.996E-004 1.219E-001 1.992E-004 6.463E-006 2.662E-001 6.500E-002 9.943E-005 1.237E-003 
0L07 9:59:00 312.3 37.13 1,000E+000 1,073E+000 3,987E-010 7,454E+002 2,713E+000 8,753E-006 1,998E-004 1,212E-001 1,995E-004 6,490E-006 2,685E-001 6,500E-002 9,985E-005 6,918E-001 
0L08 10:17:18 316.5 36.63 1.000E+000 1.043E+000 7.298E-010 7.591E+002 2.670E+000 1.014E-005 2.000E-004 1.197E-001 1.997E-004 6.472E-006 2.708E-001 6.500E-002 9.957E-005 1.767E-003 
0L09 10:35:30 320.3 36.2 1.000E+000 1.096E+000 1.241E-009 7.713E+002 2.650E+000 1.192E-005 1.978E-004 1.165E-001 1.974E-004 6.278E-006 2.730E-001 6.250E-002 1.005E-004 2.277E-003 
0L10 10:51:40 323.8 35.81 1.000E+000 1.028E+000 2.162E-009 7.865E+002 2.658E+000 1.438E-005 2.024E-004 1.163E-001 2.021E-004 6.486E-006 2.760E-001 6.250E-002 1.038E-004 5.610E-004 
0L11 11:08:44 326.5 35.51 1.000E+000 1.102E+000 3.044E-009 7.928E+002 2.630E+000 1.579E-005 2.010E-004 1.137E-001 2.007E-004 6.325E-006 2.773E-001 6.031E-002 1.049E-004 4.118E-004 
0L12 11:23:34 329.1 35.23 1.000E+000 1.146E+000 4.320E-009 7.904E+002 2.603E+000 1.717E-005 1.997E-004 1.106E-001 1.994E-004 6.124E-006 2.777E-001 6.000E-002 1.021E-004 1.855E-003 
0L13 11:42:04 332.7 34.85 1.000E+000 1.081E+000 6.936E-009 7.991E+002 2.580E+000 1.986E-005 1.949E-004 1.055E-001 1.946E-004 5.689E-006 2.771E-001 6.000E-002 9.482E-005 1.314E-003 
0L14 12:00:56 336.1 34.5 1.000E+000 1.097E+000 1.069E-008 7.994E+002 2.564E+000 2.271E-005 1.983E-004 1.034E-001 1.980E-004 5.688E-006 2.778E-001 6.000E-002 9.480E-005 6.935E-004 
0L15 12:24:28 339.5 34.15 1.000E+000 1.073E+000 1.596E-008 7.928E+002 2.530E+000 2.543E-005 2.023E-004 1.012E-001 2.020E-004 5.756E-006 2.816E-001 5.500E-002 1.047E-004 1.263E-003 
