fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
UGL060 14:08:10 308.5 37.58 1.000E+000 8.730E-001 3.891E-010 7.347E+002 2.623E+000 7.542E-006 3.125E-005 2.102E-002 3.121E-005 1.650E-007 2.516E-001 1.050E-002 1.557E-005 8.422E-003 
UGL065 13:59:56 308.5 37.58 1.000E+000 8.887E-001 3.921E-010 7.347E+002 2.648E+000 7.994E-006 4.145E-005 2.763E-002 4.140E-005 2.886E-007 2.523E-001 1.390E-002 2.061E-005 6.426E-001 
UGL070 13:57:14 308.5 37.58 1.000E+000 9.201E-001 4.170E-010 7.347E+002 2.704E+000 8.662E-006 5.230E-005 3.450E-002 5.223E-005 4.560E-007 2.531E-001 1.740E-002 2.606E-005 4.619E-002 
UGL075 13:53:48 308.5 37.58 1.000E+000 8.502E-001 3.709E-010 7.347E+002 2.575E+000 6.946E-006 5.806E-005 3.877E-002 5.798E-005 5.692E-007 2.532E-001 1.950E-002 2.904E-005 3.275E-002 
UGL080 13:51:16 308.5 37.58 1.000E+000 9.274E-001 4.085E-010 7.347E+002 2.688E+000 8.381E-006 7.384E-005 4.831E-002 7.374E-005 9.069E-007 2.546E-001 2.440E-002 3.702E-005 1.924E+000 
UGL085 13:48:30 308.5 37.58 1.000E+000 9.044E-001 4.085E-010 7.347E+002 2.690E+000 8.457E-006 9.521E-005 6.149E-002 9.509E-005 1.499E-006 2.564E-001 3.120E-002 4.791E-005 1.818E-002 
UGL090 13:45:18 308.4 37.59 1.000E+000 8.786E-001 3.807E-010 7.343E+002 2.641E+000 7.880E-006 1.028E-004 6.640E-002 1.027E-004 1.753E-006 2.570E-001 3.370E-002 5.185E-005 5.679E-001 
UGL095 13:42:18 308.5 37.58 1.000E+000 8.221E-001 3.589E-010 7.347E+002 2.558E+000 6.830E-006 1.250E-004 8.049E-002 1.249E-004 2.603E-006 2.590E-001 4.110E-002 6.317E-005 3.725E-003 
UGL100 13:30:50 308.4 37.59 1.000E+000 1.062E+000 4.638E-010 7.343E+002 2.736E+000 9.065E-006 1.490E-004 9.236E-002 1.488E-004 3.602E-006 2.621E-001 4.750E-002 7.567E-005 1.417E-002 
UGL105 13:27:34 308.2 37.62 1.000E+000 8.292E-001 3.765E-010 7.335E+002 2.652E+000 7.847E-006 1.584E-004 9.863E-002 1.582E-004 4.102E-006 2.629E-001 5.080E-002 8.059E-005 5.349E-002 
UGL110 13:24:36 308.3 37.61 1.000E+000 9.427E-001 4.218E-010 7.339E+002 2.655E+000 7.783E-006 1.832E-004 1.121E-001 1.829E-004 5.456E-006 2.660E-001 5.820E-002 9.358E-005 6.718E-003 
