N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.778e+16 295 1.131378951E+00 1.136146502E+00
1.468000E+10 1.778e+16 295 1.132930464E+00 1.136218938E+00
2.154000E+10 1.778e+16 295 1.134062619E+00 1.136323471E+00
3.162000E+10 1.778e+16 295 1.134921256E+00 1.136472499E+00
4.642000E+10 1.778e+16 295 1.135619842E+00 1.136683062E+00
6.813000E+10 1.778e+16 295 1.136246738E+00 1.136975242E+00
1.000000E+11 1.778e+16 295 1.136872649E+00 1.137371948E+00
1.468000E+11 1.778e+16 295 1.137551623E+00 1.137894122E+00
2.154000E+11 1.778e+16 295 1.138319313E+00 1.138554489E+00
3.162000E+11 1.778e+16 295 1.140344648E+00 1.140938543E+00
4.642000E+11 1.778e+16 295 1.144269251E+00 1.144772902E+00
6.813000E+11 1.778e+16 295 1.149420577E+00 1.149864104E+00
1.000000E+12 1.778e+16 295 1.152413324E+00 1.152471688E+00
1.468000E+12 1.778e+16 295 1.153257322E+00 1.153297376E+00
2.154000E+12 1.778e+16 295 1.154181276E+00 1.154320301E+00
3.162000E+12 1.778e+16 295 1.155171152E+00 1.155201577E+00
4.642000E+12 1.778e+16 295 1.156013939E+00 1.156028223E+00
6.813000E+12 1.778e+16 295 1.156537738E+00 1.156546644E+00
1.000000E+13 1.778e+16 295 1.15752948E+00 1.15678832E+00
