N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.778e+16 330 1.180277640E+00 1.203448852E+00
1.468000E+10 1.778e+16 330 1.187087904E+00 1.203498095E+00
2.154000E+10 1.778e+16 330 1.192077945E+00 1.203571205E+00
3.162000E+10 1.778e+16 330 1.195690861E+00 1.203677074E+00
4.642000E+10 1.778e+16 330 1.198310274E+00 1.203829438E+00
6.813000E+10 1.778e+16 330 1.200248400E+00 1.204049167E+00
1.000000E+11 1.778e+16 330 1.201750834E+00 1.204362654E+00
1.468000E+11 1.778e+16 330 1.203011064E+00 1.204804275E+00
2.154000E+11 1.778e+16 330 1.204185177E+00 1.205416347E+00
3.162000E+11 1.778e+16 330 1.205397836E+00 1.206243789E+00
4.642000E+11 1.778e+16 330 1.206745613E+00 1.207327651E+00
6.813000E+11 1.778e+16 330 1.208290574E+00 1.208691763E+00
1.000000E+12 1.778e+16 330 1.210049840E+00 1.210326909E+00
1.468000E+12 1.778e+16 330 1.212128905E+00 1.212320406E+00
2.154000E+12 1.778e+16 330 1.213977535E+00 1.214109956E+00
3.162000E+12 1.778e+16 330 1.215878808E+00 1.215968606E+00
4.642000E+12 1.778e+16 330 1.218183245E+00 1.218518711E+00
6.813000E+12 1.778e+16 330 1.223798341E+00 1.223843737E+00
1.000000E+13 1.778e+16 330 1.224723309E+00 1.224754595E+00
