N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.044488635E+00 1.044328776E+00 1.044150580E+00 1.043965062E+00
1.600000000E+01 1.206301892E+00 1.194350269E+00 1.181659616E+00 1.172543627E+00
1.700000000E+01 1.261063089E+00 1.254012057E+00 1.247491818E+00 1.242320640E+00
1.549996187E+01 1.010390933E+00 1.009707295E+00 1.009200197E+00 1.008796044E+00
1.649996187E+01 1.260963584E+00 1.256070889E+00 1.250742156E+00 1.245619777E+00
1.674996808E+01 1.265273500E+00 1.258521793E+00 1.253495626E+00 1.248372968E+00
1.624993176E+01 1.247116934E+00 1.240322938E+00 1.233672433E+00 1.227129988E+00
1.574996808E+01 1.093905154E+00 1.067810656E+00 1.047540095E+00 1.028798145E+00
1.524993176E+01 1.018800427E+00 1.018304257E+00 1.017903485E+00 1.017571799E+00
