T nFsrh nFBsrh dnsrh nF nFB dn
290 1.184909120E+00 1.146483398E+00 3.842572200E-02 1.184872250E+00 1.146452939E+00 3.841931100E-02
295 1.182779331E+00 1.153297376E+00 2.948195500E-02 1.182701940E+00 1.153257322E+00 2.944461800E-02
300 1.190668416E+00 1.159035905E+00 3.163251100E-02 1.190608159E+00 1.158702819E+00 3.190534000E-02
305 1.198376321E+00 1.157159534E+00 4.121678700E-02 1.198300058E+00 1.157098213E+00 4.120184500E-02
310 1.196211935E+00 1.163475328E+00 3.273660700E-02 1.196121459E+00 1.163396950E+00 3.272450900E-02
315 1.199824221E+00 1.169943752E+00 2.988046900E-02 1.199309120E+00 1.169844875E+00 2.946424500E-02
320 1.204695675E+00 1.175614424E+00 2.908125100E-02 1.204563763E+00 1.175490839E+00 2.907292400E-02
325 1.206953648E+00 1.179763370E+00 2.719027800E-02 1.206867483E+00 1.179546706E+00 2.732077700E-02
330 1.212320406E+00 1.180736966E+00 3.158344000E-02 1.212128905E+00 1.180540249E+00 3.158865600E-02
335 1.216322309E+00 1.184174219E+00 3.214809000E-02 1.216095323E+00 1.183955312E+00 3.214001100E-02
340 1.219594252E+00 1.187633919E+00 3.196033300E-02 1.219321823E+00 1.187565918E+00 3.175590500E-02
