T nFsrh nFBsrh dnsrh nF nFB dn
290 1.173905637E+00 1.132682074E+00 4.122356300E-02 1.171638692E+00 1.128628315E+00 4.301037700E-02
295 1.181588354E+00 1.136323471E+00 4.526488300E-02 1.167355260E+00 1.134062619E+00 3.329264100E-02
300 1.186770030E+00 1.142025417E+00 4.474461300E-02 1.175766247E+00 1.139121946E+00 3.664430100E-02
305 1.186595008E+00 1.147484714E+00 3.911029400E-02 1.176813720E+00 1.143798609E+00 3.301511100E-02
310 1.189210256E+00 1.152578339E+00 3.663191700E-02 1.177203432E+00 1.147958188E+00 2.924524400E-02
315 1.192417336E+00 1.157285663E+00 3.513167300E-02 1.174500071E+00 1.151568017E+00 2.293205400E-02
320 1.195887599E+00 1.161521217E+00 3.436638200E-02 1.187823967E+00 1.154534653E+00 3.328931400E-02
325 1.200396072E+00 1.165216532E+00 3.517954000E-02 1.182252597E+00 1.156790351E+00 2.546224600E-02
330 1.203571205E+00 1.168345762E+00 3.522544300E-02 1.192077945E+00 1.158313594E+00 3.376435100E-02
335 1.204982038E+00 1.170864770E+00 3.411726800E-02 1.190253127E+00 1.159069204E+00 3.118392300E-02
340 1.192631755E+00 1.172940276E+00 1.969147900E-02 1.177550086E+00 1.161502037E+00 1.604804900E-02
