fname V Rs Rt Qt nt Rr Qr nr rmsre
d51am1V2n1 -1.2 5.4326705E+0 1.8680505E+4 7.0569328E-10 1.0000000E+0 9.1968688E+4 1.5308486E-11 9.8766162E-1 2.9242640E-2
d51am1Vn1 -1 5.0958855E+0 1.0231281E+4 7.4302821E-10 1.0000000E+0 1.2566906E+5 2.4450523E-11 9.7084503E-1 2.6819458E-2
d51am0V8n1 -0.8 7.2162798E+0 8.5581239E+4 8.0545995E-10 1.0000000E+0 7.5372236E+4 1.8200273E-11 1.0000000E+0 5.6676563E-2
d51am0V6n1 -0.6 1.9352227E+0 1.2611717E+3 8.1233622E-10 1.0000000E+0 2.0800586E+5 8.1599280E-11 9.7867061E-1 3.1421517E-2
d51am0V4n1 -0.4 3.2546443E-1 4.5104114E+2 8.3456950E-10 1.0000000E+0 2.7288665E+5 1.5212594E-10 9.8302728E-1 3.3968472E-2
d51am0V2n1 -0.2 6.5214553E+0 1.0000000E+0 1.0337852E-9 1.0000000E+0 3.6229333E+5 1.6646734E-10 8.8278337E-1 5.5771528E-2
d51a0Vn1 0 7.3266814E+0 4.8075422E+4 1.2310645E-9 1.0000000E+0 2.0759207E+5 1.5207782E-9 7.2152489E-1 3.9023582E-2
d51a0V2n1 0.2 7.4542042E+0 6.5091106E+3 1.5803432E-9 1.0000000E+0 2.0737890E+4 3.5403336E-9 7.6709096E-1 2.7785025E-2
d51a0V4n1 0.4 8.1540188E+0 6.8987996E+2 3.1659138E-9 1.0000000E+0 1.2531859E+3 1.1408250E-7 6.5012328E-1 1.2188978E-2

