N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.408664000E-03 3.488674000E-03 5.354050000E-03 8.233253000E-03 1.080701200E-02 1.489341800E-02 2.017816800E-02 2.742857200E-02 3.760557200E-02
1.016672606E+01 9.645040000E-04 2.411079000E-03 3.719818000E-03 6.093673000E-03 7.562124000E-03 1.044609000E-02 1.419718600E-02 1.939125900E-02 2.676569600E-02
1.033324570E+01 6.603470000E-04 1.660552000E-03 2.571894000E-03 4.422195000E-03 5.256148000E-03 7.267286000E-03 9.881661000E-03 1.350532500E-02 1.866522400E-02
1.049996187E+01 4.524280000E-04 1.140965000E-03 1.771869000E-03 3.006302000E-03 3.633843000E-03 5.022542000E-03 6.817042000E-03 9.289247000E-03 1.279701700E-02
1.066670514E+01 3.104890000E-04 7.829360000E-04 1.217745000E-03 2.052401000E-03 2.621543000E-03 3.452861000E-03 4.668446000E-03 6.323696000E-03 8.656320000E-03
1.083333839E+01 2.136800000E-04 5.370460000E-04 8.357870000E-04 1.375623000E-03 1.862220000E-03 2.364145000E-03 3.178444000E-03 4.314137000E-03 5.802635000E-03
1.100000000E+01 1.477240000E-04 3.686150000E-04 5.734360000E-04 9.129030000E-04 1.255831000E-03 1.614354000E-03 2.155669000E-03 2.945919000E-03 3.878189000E-03
1.116672606E+01 1.028370000E-04 2.534670000E-04 3.937680000E-04 6.113730000E-04 8.680980000E-04 1.101479000E-03 1.460941000E-03 1.962362000E-03 2.570056000E-03
1.133324570E+01 7.233900000E-05 1.748630000E-04 2.709650000E-04 4.003170000E-04 5.845170000E-04 7.532240000E-04 9.943480000E-04 1.333270000E-03 2.237679000E-03
1.149996187E+01 5.168900000E-05 1.212830000E-04 1.872210000E-04 2.764220000E-04 4.030600000E-04 5.186790000E-04 6.844980000E-04 9.215830000E-04 1.235186000E-03
1.166670514E+01 3.772300000E-05 8.480500000E-05 1.302050000E-04 1.923020000E-04 2.763980000E-04 3.620890000E-04 4.806420000E-04 6.533990000E-04 8.855700000E-04
1.183333839E+01 2.829200000E-05 5.998700000E-05 9.153200000E-05 1.331850000E-04 1.936100000E-04 2.583590000E-04 3.470480000E-04 4.779590000E-04 6.555690000E-04
1.200000000E+01 2.188700000E-05 4.310800000E-05 6.535800000E-05 9.570300000E-05 1.402410000E-04 1.898600000E-04 2.590600000E-04 3.616110000E-04 5.018960000E-04
1.216672606E+01 1.743000000E-05 3.162100000E-05 4.771600000E-05 7.060900000E-05 1.035520000E-04 1.443700000E-04 2.001960000E-04 2.827200000E-04 3.963920000E-04
1.233324570E+01 1.420200000E-05 2.377600000E-05 3.582500000E-05 5.380300000E-05 8.012000000E-05 1.136480000E-04 1.598110000E-04 2.276500000E-04 3.396350000E-04
1.249996187E+01 1.175500000E-05 1.839600000E-05 2.779800000E-05 4.243900000E-05 6.411700000E-05 9.228700000E-05 1.311440000E-04 1.878620000E-04 2.914940000E-04
1.266670514E+01 9.844000000E-06 1.465600000E-05 2.230300000E-05 3.458400000E-05 5.282600000E-05 7.687000000E-05 1.099680000E-04 1.585980000E-04 1.964040000E-04
1.283333839E+01 8.328000000E-06 1.202200000E-05 1.843200000E-05 2.893400000E-05 4.452400000E-05 6.523500000E-05 9.216600000E-05 1.350440000E-04 1.791260000E-04
1.300000000E+01 7.131000000E-06 1.010100000E-05 1.559700000E-05 2.468800000E-05 3.811900000E-05 5.605500000E-05 8.235300000E-05 1.162550000E-04 1.654190000E-04
