T nFsrh nFBsrh dnsrh nF nFB dn
290 1.193289054E+00 1.140692772E+00 5.259628200E-02 1.192928051E+00 1.139674327E+00 5.325372400E-02
295 1.193018919E+00 1.142279197E+00 5.073972200E-02 1.191073279E+00 1.141976299E+00 4.909698000E-02
300 1.200110977E+00 1.148794108E+00 5.131686900E-02 1.199542323E+00 1.148401280E+00 5.114104300E-02
305 1.208576654E+00 1.154640960E+00 5.393569400E-02 1.204479033E+00 1.154137470E+00 5.034156300E-02
310 1.206930869E+00 1.159833677E+00 4.709719200E-02 1.206063115E+00 1.159197254E+00 4.686586100E-02
315 1.209554272E+00 1.163651446E+00 4.590282600E-02 1.208516024E+00 1.162971163E+00 4.554486100E-02
320 1.217294554E+00 1.165490904E+00 5.180365000E-02 1.211667195E+00 1.164861782E+00 4.680541300E-02
325 1.220208670E+00 1.167721630E+00 5.248704000E-02 1.218635454E+00 1.167138196E+00 5.149725800E-02
330 1.226904719E+00 1.170303021E+00 5.660169800E-02 1.224951815E+00 1.169760101E+00 5.519171400E-02
335 1.232804781E+00 1.173183200E+00 5.962158100E-02 1.230439423E+00 1.172676097E+00 5.776332600E-02
340 1.237657554E+00 1.175641141E+00 6.201641300E-02 1.234812937E+00 1.175288869E+00 5.952406800E-02
