T nFsrh nFBsrh dnsrh nF nFB dn
290 1.204763470E+00 1.150797515E+00 5.396595500E-02 1.200918413E+00 1.150759266E+00 5.015914700E-02
295 1.202754116E+00 1.158573084E+00 4.418103200E-02 1.202685743E+00 1.158520806E+00 4.416493700E-02
300 1.211663788E+00 1.166101688E+00 4.556210000E-02 1.208143111E+00 1.166014976E+00 4.212813500E-02
305 1.209968146E+00 1.164057235E+00 4.591091100E-02 1.209862663E+00 1.163482371E+00 4.638029200E-02
310 1.218801666E+00 1.170099056E+00 4.870261000E-02 1.218663608E+00 1.169558957E+00 4.910465100E-02
315 1.221197682E+00 1.177409786E+00 4.378789600E-02 1.218223163E+00 1.176708915E+00 4.151424800E-02
320 1.222724252E+00 1.183914266E+00 3.880998600E-02 1.220816312E+00 1.183031888E+00 3.778442400E-02
325 1.228689715E+00 1.185257508E+00 4.343220700E-02 1.228450739E+00 1.184999811E+00 4.345092800E-02
330 1.232268816E+00 1.186527750E+00 4.574106600E-02 1.231057621E+00 1.186303170E+00 4.475445100E-02
335 1.239801757E+00 1.191484851E+00 4.831690600E-02 1.238410663E+00 1.191198438E+00 4.721222500E-02
340 1.246405036E+00 1.198750423E+00 4.765461300E-02 1.245941739E+00 1.198459787E+00 4.748195200E-02
