T d154 d184 d214 d244
d 150 180 210 240
290 1.241354480E+00 1.239161458E+00 1.236324654E+00 1.235436959E+00
295 1.242071348E+00 1.240075159E+00 1.237637980E+00 1.236706140E+00
300 1.243251435E+00 1.241325173E+00 1.239040111E+00 1.238187276E+00
305 1.244315273E+00 1.242390868E+00 1.240146776E+00 1.239392185E+00
310 1.244496770E+00 1.241829666E+00 1.240133111E+00 1.239552684E+00
315 1.242451096E+00 1.239552673E+00 1.237665585E+00 1.237162782E+00
320 1.236105936E+00 1.232829304E+00 1.230814415E+00 1.230315741E+00
325 1.221586740E+00 1.217937668E+00 1.215800675E+00 1.215366976E+00
330 1.193354897E+00 1.189021887E+00 1.187009784E+00 1.187169698E+00
335 1.143078414E+00 1.136482566E+00 1.136604792E+00 1.137912907E+00
340 1.062679301E+00 1.055649598E+00 1.056820082E+00 1.059960205E+00
