T d154 d184 d214 d244
d 150 180 210 240
290 1.878600000E-05 1.650800000E-05 1.513600000E-05 1.427500000E-05
295 1.525500000E-05 1.366500000E-05 1.278300000E-05 1.225800000E-05
300 1.061000000E-05 9.859000000E-06 9.658000000E-06 9.660000000E-06
305 2.562000000E-06 3.110000000E-06 3.987000000E-06 4.924000000E-06
310 -1.243100000E-05 -9.819000000E-06 -7.111000000E-06 -4.543000000E-06
315 1.825700000E-05 1.485400000E-05 1.271300000E-05 1.130600000E-05
320 1.977500000E-05 1.589900000E-05 1.337800000E-05 1.172300000E-05
325 2.485600000E-05 1.968000000E-05 1.626700000E-05 1.395000000E-05
330 3.584600000E-05 2.800500000E-05 2.269100000E-05 1.905700000E-05
335 5.672600000E-05 4.399300000E-05 3.525100000E-05 2.901900000E-05
340 9.418700000E-05 7.312000000E-05 5.829900000E-05 4.748800000E-05
