N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.410500000E-05 1.163700000E-05 1.009200000E-05 9.122000000E-06
1.600000000E+01 1.301150000E-04 1.222230000E-04 1.173640000E-04 1.140780000E-04
1.700000000E+01 1.916669000E-03 1.837235000E-03 1.796328000E-03 1.777253000E-03
1.549996187E+01 2.742800000E-05 2.755700000E-05 2.828900000E-05 2.916000000E-05
1.649996187E+01 4.717520000E-04 4.428590000E-04 4.265940000E-04 4.161910000E-04
1.674996808E+01 9.415050000E-04 8.930620000E-04 8.644920000E-04 8.485330000E-04
1.624993176E+01 2.442350000E-04 2.284360000E-04 2.192280000E-04 2.130890000E-04
1.574996808E+01 6.812300000E-05 6.475200000E-05 6.275900000E-05 6.164500000E-05
1.524993176E+01 -9.442000000E-06 -5.189000000E-06 -1.119000000E-06 2.444000000E-06
