N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -9.502126300E-02 -8.797446600E-02 -8.474631700E-02 -8.472066200E-02
1.600000000E+01 2.977727700E-02 2.975627000E-02 2.930324600E-02 2.905481200E-02
1.700000000E+01 6.139902500E-02 6.118320400E-02 5.997447100E-02 6.046350800E-02
1.549996187E+01 1.339543600E-02 1.328073100E-02 1.431566100E-02 1.489785300E-02
1.649996187E+01 4.791729900E-02 4.857745800E-02 4.857161700E-02 4.865766300E-02
1.674996808E+01 5.738129400E-02 5.598643500E-02 5.662470300E-02 5.658363200E-02
1.624993176E+01 3.787517700E-02 3.795628800E-02 3.794908900E-02 3.749132300E-02
1.574996808E+01 2.413026200E-02 2.396174100E-02 2.378443000E-02 2.447432600E-02
1.524993176E+01 -1.843027300E-02 -1.513497600E-02 -1.362903400E-02 -1.308681700E-02
