Fe B nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 1.500000000E+01 1.072668248E+00 1.143037851E+00 -7.036960300E-02 1.072119825E+00 1.139375606E+00 -6.725578100E-02
1.000000000E+01 1.524993176E+01 1.118156729E+00 1.142121675E+00 -2.396494600E-02 1.116495752E+00 1.139532473E+00 -2.303672100E-02
1.000000000E+01 1.549996187E+01 1.164321301E+00 1.145702475E+00 1.861882600E-02 1.160828250E+00 1.142035219E+00 1.879303100E-02
1.000000000E+01 1.574996808E+01 1.176395154E+00 1.150295718E+00 2.609943600E-02 1.168664421E+00 1.145119531E+00 2.354489000E-02
1.000000000E+01 1.600000000E+01 1.181841063E+00 1.153311108E+00 2.852995500E-02 1.169598828E+00 1.146148117E+00 2.345071100E-02
1.000000000E+01 1.624993176E+01 1.189055495E+00 1.152356538E+00 3.669895700E-02 1.152988051E+00 1.142771852E+00 1.021619900E-02
1.000000000E+01 1.649996187E+01 1.198218533E+00 1.148725320E+00 4.949321300E-02 1.173374863E+00 1.136277926E+00 3.709693700E-02
1.000000000E+01 1.674996808E+01 1.206321498E+00 1.147759323E+00 5.856217500E-02 1.174320071E+00 1.131585179E+00 4.273489200E-02
1.000000000E+01 1.700000000E+01 1.215336774E+00 1.151941664E+00 6.339511000E-02 1.173935869E+00 1.131820900E+00 4.211496900E-02
1.016672606E+01 1.500000000E+01 1.072684800E+00 1.143060891E+00 -7.037609100E-02 1.072310078E+00 1.140444847E+00 -6.813476900E-02
1.016672606E+01 1.524993176E+01 1.118332863E+00 1.142132589E+00 -2.379972600E-02 1.117192193E+00 1.140357275E+00 -2.316508200E-02
1.016672606E+01 1.549996187E+01 1.164462844E+00 1.145720473E+00 1.874237100E-02 1.162059654E+00 1.143200335E+00 1.885931900E-02
1.016672606E+01 1.574996808E+01 1.176434233E+00 1.150325997E+00 2.610823600E-02 1.170405552E+00 1.146757687E+00 2.364786500E-02
1.016672606E+01 1.600000000E+01 1.181891019E+00 1.153362571E+00 2.852844800E-02 1.172078500E+00 1.148403420E+00 2.367508000E-02
1.016672606E+01 1.624993176E+01 1.189118254E+00 1.152447017E+00 3.667123700E-02 1.164627478E+00 1.145772631E+00 1.885484700E-02
1.016672606E+01 1.649996187E+01 1.198296863E+00 1.148889050E+00 4.940781300E-02 1.178341414E+00 1.140154536E+00 3.818687800E-02
1.016672606E+01 1.674996808E+01 1.206332234E+00 1.148062662E+00 5.826957200E-02 1.180815378E+00 1.136600438E+00 4.421494000E-02
1.016672606E+01 1.700000000E+01 1.215345664E+00 1.152150573E+00 6.319509100E-02 1.182793921E+00 1.138209342E+00 4.458457900E-02
1.033324570E+01 1.500000000E+01 1.072708195E+00 1.143094682E+00 -7.038648700E-02 1.072452329E+00 1.141249207E+00 -6.879687800E-02
1.033324570E+01 1.524993176E+01 1.118589184E+00 1.142148012E+00 -2.355882800E-02 1.117805813E+00 1.140932845E+00 -2.312703200E-02
1.033324570E+01 1.549996187E+01 1.164668568E+00 1.145746667E+00 1.892190100E-02 1.163017595E+00 1.144019119E+00 1.899847600E-02
1.033324570E+01 1.574996808E+01 1.176491533E+00 1.150370050E+00 2.612148300E-02 1.171632518E+00 1.147918484E+00 2.371403400E-02
1.033324570E+01 1.600000000E+01 1.181964252E+00 1.153437141E+00 2.852711100E-02 1.175126654E+00 1.150019304E+00 2.510735000E-02
1.033324570E+01 1.624993176E+01 1.189210256E+00 1.152578339E+00 3.663191700E-02 1.177203432E+00 1.147958188E+00 2.924524400E-02
1.033324570E+01 1.649996187E+01 1.198411683E+00 1.149125824E+00 4.928585900E-02 1.181900981E+00 1.143043281E+00 3.885770000E-02
1.033324570E+01 1.674996808E+01 1.206347832E+00 1.148493715E+00 5.785411700E-02 1.185544270E+00 1.140448141E+00 4.509612900E-02
1.033324570E+01 1.700000000E+01 1.215358487E+00 1.152453480E+00 6.290500700E-02 1.189393792E+00 1.143275159E+00 4.611863300E-02
1.049996187E+01 1.500000000E+01 1.072743323E+00 1.143144229E+00 -7.040090600E-02 1.072568617E+00 1.141853410E+00 -6.928479300E-02
1.049996187E+01 1.524993176E+01 1.118960459E+00 1.142171159E+00 -2.321070000E-02 1.118421863E+00 1.141340260E+00 -2.291839700E-02
1.049996187E+01 1.549996187E+01 1.164966632E+00 1.145785797E+00 1.918083500E-02 1.163832798E+00 1.144603422E+00 1.922937600E-02
1.049996187E+01 1.574996808E+01 1.176575537E+00 1.150433992E+00 2.614154500E-02 1.173188059E+00 1.148753379E+00 2.443468000E-02
1.049996187E+01 1.600000000E+01 1.182071660E+00 1.153545177E+00 2.852648300E-02 1.178287201E+00 1.151196571E+00 2.709063000E-02
1.049996187E+01 1.624993176E+01 1.189345049E+00 1.152767010E+00 3.657803900E-02 1.182084928E+00 1.149581267E+00 3.250366100E-02
1.049996187E+01 1.649996187E+01 1.198579898E+00 1.149461983E+00 4.911791500E-02 1.184422038E+00 1.145247004E+00 3.917503400E-02
1.049996187E+01 1.674996808E+01 1.206370427E+00 1.149098664E+00 5.727176300E-02 1.188926955E+00 1.143485807E+00 4.544114800E-02
1.049996187E+01 1.700000000E+01 1.215377154E+00 1.152890366E+00 6.248678800E-02 1.194191057E+00 1.147422675E+00 4.676838200E-02
1.066670514E+01 1.500000000E+01 1.072792916E+00 1.143216854E+00 -7.042393800E-02 1.072673680E+00 1.142318699E+00 -6.964501900E-02
1.066670514E+01 1.524993176E+01 1.119495236E+00 1.142204477E+00 -2.270924100E-02 1.119124091E+00 1.141636635E+00 -2.251254400E-02
1.066670514E+01 1.549996187E+01 1.165395714E+00 1.145841708E+00 1.955400600E-02 1.164616375E+00 1.145033152E+00 1.958322300E-02
1.066670514E+01 1.574996808E+01 1.176698578E+00 1.150526548E+00 2.617203000E-02 1.174649848E+00 1.149375902E+00 2.527394600E-02
1.066670514E+01 1.600000000E+01 1.182228769E+00 1.153700690E+00 2.852807900E-02 1.179457856E+00 1.152089670E+00 2.736818600E-02
1.066670514E+01 1.624993176E+01 1.189542368E+00 1.153036605E+00 3.650576300E-02 1.185480514E+00 1.150844858E+00 3.463565600E-02
1.066670514E+01 1.649996187E+01 1.198826111E+00 1.149936503E+00 4.888960800E-02 1.189925425E+00 1.147023789E+00 4.290163600E-02
1.066670514E+01 1.674996808E+01 1.206403269E+00 1.149932266E+00 5.647100300E-02 1.191321088E+00 1.146029595E+00 4.529149300E-02
1.066670514E+01 1.700000000E+01 1.215404197E+00 1.153515725E+00 6.188847200E-02 1.197619687E+00 1.151023848E+00 4.659583900E-02
1.083333839E+01 1.500000000E+01 1.073583288E+00 1.143323267E+00 -6.973997900E-02 1.073489568E+00 1.142699839E+00 -6.921027100E-02
1.083333839E+01 1.524993176E+01 1.120258986E+00 1.142130736E+00 -2.187175000E-02 1.120002225E+00 1.141740162E+00 -2.173793700E-02
1.083333839E+01 1.549996187E+01 1.166008893E+00 1.145922334E+00 2.008655900E-02 1.165472170E+00 1.145369711E+00 2.010245900E-02
1.083333839E+01 1.574996808E+01 1.176878656E+00 1.150660246E+00 2.621841000E-02 1.175419260E+00 1.149873036E+00 2.554622400E-02
1.083333839E+01 1.600000000E+01 1.182458514E+00 1.153923405E+00 2.853510900E-02 1.180101215E+00 1.152819299E+00 2.728191600E-02
1.083333839E+01 1.624993176E+01 1.189830838E+00 1.153415905E+00 3.641493300E-02 1.186372424E+00 1.151909504E+00 3.446292000E-02
1.083333839E+01 1.649996187E+01 1.199186023E+00 1.150590519E+00 4.859550400E-02 1.191488317E+00 1.148579778E+00 4.290853900E-02
1.083333839E+01 1.674996808E+01 1.206450633E+00 1.151050633E+00 5.540000000E-02 1.197175418E+00 1.148340270E+00 4.883514800E-02
1.083333839E+01 1.700000000E+01 1.215443092E+00 1.154401585E+00 6.104150700E-02 1.200046593E+00 1.152742325E+00 4.730426800E-02
1.100000000E+01 1.500000000E+01 1.074840380E+00 1.143479022E+00 -6.863864200E-02 1.074774179E+00 1.143046216E+00 -6.827203700E-02
