fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B105FE100_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.717213199E+07 0.000000000E+00 2.200000000E+00 1.667501711E-03 
B105FE101_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.606483327E+07 0.000000000E+00 2.200000000E+00 1.594636932E-03 
B105FE102_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.033832201E+07 0.000000000E+00 2.200000000E+00 1.526720407E-03 
B105FE103_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 1.063916710E+07 0.000000000E+00 2.200000000E+00 2.440605311E-03 
B105FE140_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.714544741E+07 0.000000000E+00 2.200000000E+00 1.672360310E-03 
B105FE141_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.554128347E+07 0.000000000E+00 2.200000000E+00 1.565761763E-03 
B105FE142_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 1.849414572E+07 0.000000000E+00 2.200000000E+00 1.525423596E-03 
B105FE210_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.703772031E+07 0.000000000E+00 2.200000000E+00 1.654073122E-03 
B105FE211_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.484556592E+07 0.000000000E+00 2.200000000E+00 1.527707928E-03 
B105FE212_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 1.634112629E+07 0.000000000E+00 2.200000000E+00 1.416195524E-03 
B105FE310_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.690355443E+07 0.000000000E+00 2.200000000E+00 1.644780100E-03 
B105FE311_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.410912477E+07 0.000000000E+00 2.200000000E+00 1.474990021E-03 
B105FE312_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 1.366182321E+07 0.000000000E+00 2.200000000E+00 1.804271273E-03 
B105FE460_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.671481157E+07 0.000000000E+00 2.200000000E+00 1.633299403E-03 
B105FE461_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.265995192E+07 0.000000000E+00 2.200000000E+00 1.493566202E-03 
B105FE462_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 1.235610714E+07 0.000000000E+00 2.200000000E+00 2.003587697E-03 
B105FE680_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.644286538E+07 0.000000000E+00 2.200000000E+00 1.616404366E-03 
B105FE681_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 2.172125057E+07 0.000000000E+00 2.200000000E+00 1.496363636E-03 
B105FE682_T 1317912115 0 555 4.900000000E-07 2.100000000E+00 1.140350198E+07 0.000000000E+00 2.200000000E+00 2.189227054E-03 
