T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.211355521E+00 1.198672529E+00 1.268299200E-02 1.210832640E+00 1.197637162E+00 1.319547800E-02 5.228810000E-04 1.035367000E-03
295 1.208308764E+00 1.199606189E+00 8.702575000E-03 1.207830194E+00 1.198660006E+00 9.170188000E-03 4.785700000E-04 9.461830000E-04
300 1.200257585E+00 1.200986420E+00 -7.288350000E-04 1.199817381E+00 1.200082238E+00 -2.648570000E-04 4.402040000E-04 9.041820000E-04
305 1.181747707E+00 1.202094195E+00 -2.034648800E-02 1.181370771E+00 1.201203175E+00 -1.983240400E-02 3.769360000E-04 8.910200000E-04
310 1.143495030E+00 1.201987398E+00 -5.849236800E-02 1.143266450E+00 1.201085410E+00 -5.781896000E-02 2.285800000E-04 9.019880000E-04
315 1.072931174E+00 1.198430217E+00 -1.254990430E-01 1.073025244E+00 1.197515804E+00 -1.244905600E-01 -9.407000000E-05 9.144130000E-04
320 1.012566105E+00 1.187071246E+00 -1.745051410E-01 1.012237278E+00 1.186176421E+00 -1.739391430E-01 3.288270000E-04 8.948250000E-04
325 1.013236959E+00 1.157626134E+00 -1.443891750E-01 1.012881012E+00 1.156896795E+00 -1.440157830E-01 3.559470000E-04 7.293390000E-04
330 1.015482283E+00 1.094000836E+00 -7.851855300E-02 1.015042569E+00 1.093773144E+00 -7.873057500E-02 4.397140000E-04 2.276920000E-04
335 1.019810508E+00 1.010586120E+00 9.224388000E-03 1.019200516E+00 1.010103641E+00 9.096875000E-03 6.099920000E-04 4.824790000E-04
340 1.026903293E+00 1.011497108E+00 1.540618500E-02 1.025986397E+00 1.010970578E+00 1.501581900E-02 9.168960000E-04 5.265300000E-04
