fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0001 13:16:34 297.2 39.01 1.000E+000 8.270E-001 2.025E-006 3.392E+003 3.029E+000 6.111E-009 1.688E-003 
0002 13:20:04 297.1 39.02 1.000E+000 8.056E-001 2.043E-006 3.380E+003 3.027E+000 6.093E-009 1.614E-003 
0003 13:23:14 297 39.04 1.000E+000 7.897E-001 2.083E-006 3.323E+003 3.012E+000 6.207E-009 1.630E-003 
0004 13:25:40 297 39.04 1.000E+000 8.211E-001 1.967E-006 3.400E+003 3.036E+000 6.000E-009 1.594E-003 
0005 13:28:22 297 39.04 1.000E+000 7.977E-001 2.055E-006 3.326E+003 3.015E+000 6.207E-009 1.651E-003 
0006 13:31:06 297 39.04 1.000E+000 8.645E-001 1.863E-006 3.453E+003 3.047E+000 5.912E-009 1.618E-003 
0007 13:33:38 297 39.04 1.000E+000 8.394E-001 1.939E-006 3.436E+003 3.043E+000 5.938E-009 1.647E-003 
0008 13:36:02 296.9 39.05 1.000E+000 7.302E-001 2.190E-006 3.359E+003 3.030E+000 6.056E-009 1.719E-003 
0009 13:38:58 297 39.04 1.000E+000 7.199E-001 2.284E-006 3.382E+003 3.023E+000 6.114E-009 1.767E-003 
0010 13:41:16 297 39.04 1.000E+000 7.230E-001 2.239E-006 3.404E+003 3.034E+000 6.030E-009 1.708E-003 
0011 13:44:06 297 39.04 1.000E+000 7.084E-001 2.298E-006 3.324E+003 3.019E+000 6.188E-009 1.704E-003 
0012 13:48:00 297 39.04 1.000E+000 8.018E-001 1.998E-006 3.439E+003 3.043E+000 5.951E-009 1.621E-003 
0013 13:51:06 297 39.04 1.000E+000 8.249E-001 2.011E-006 3.386E+003 3.032E+000 6.024E-009 1.593E-003 
0014 13:57:26 297 39.04 1.000E+000 7.977E-001 2.099E-006 3.312E+003 3.012E+000 6.232E-009 1.656E-003 
0015 13:59:46 297 39.04 1.000E+000 7.910E-001 2.080E-006 3.352E+003 3.019E+000 6.163E-009 1.634E-003 
