fname V Rs Rt Qt nt Rr Qr nr rmsre
d72bm1V2n1 -1.2 9.5011389E-1 3.4463900E+3 1.0765369E-9 1.0000000E+0 9.6515174E+3 3.7418624E-10 9.2260417E-1 7.6897805E-3
d72bm1Vn1 -1 1.0673810E+0 3.2287258E+3 1.1358662E-9 1.0000000E+0 9.0315967E+3 4.1711253E-10 9.2238530E-1 7.4841156E-3
d72bm0V8n1 -0.8 1.0386054E+0 2.8666659E+3 1.2044267E-9 1.0000000E+0 8.5816368E+3 4.9808513E-10 9.1663004E-1 7.5148293E-3
d72bm0V6n1 -0.6 1.0420459E+0 2.5686087E+3 1.2891122E-9 1.0000000E+0 7.8570672E+3 5.5916803E-10 9.1743924E-1 7.4762986E-3
d72bm0V4n1 -0.4 9.3357497E-1 2.1313860E+3 1.3929581E-9 1.0000000E+0 7.2167909E+3 7.1431649E-10 9.0924522E-1 8.2176323E-3
d72bm0V2n1 -0.2 8.4607983E-1 1.7170607E+3 1.5288196E-9 1.0000000E+0 6.1556890E+3 9.6588983E-10 9.0119241E-1 8.8511376E-3
d72b0Vn1 0 9.5301488E-1 1.3961619E+3 1.7227971E-9 1.0000000E+0 5.1879454E+3 1.3524874E-9 8.9357631E-1 1.3762294E-2
d72b0V2n1 0.2 1.3987525E+0 2.5117726E+2 1.9933153E-9 1.0000000E+0 1.5296256E+2 1.5201372E-8 8.0043371E-1 3.2801280E-3
d72b0V4n1 0.4 1.9400001E+0 1.3137802E+2 2.3750638E-9 1.0000000E+0 2.0393213E+1 2.3127966E-7 7.9657550E-1 2.8440642E-3

