T d154 d184 d214 d244
d 150 180 210 240
290 3.178090800E-02 3.188952000E-02 3.184890000E-02 3.117639900E-02
295 3.126577100E-02 3.135744800E-02 3.138810500E-02 3.070098300E-02
300 3.082997400E-02 3.093439800E-02 3.095495600E-02 3.025754000E-02
305 3.077842500E-02 3.079663900E-02 3.041638500E-02 3.017815800E-02
310 3.044887500E-02 3.040106800E-02 3.000545700E-02 2.979367400E-02
315 2.993811400E-02 2.997120600E-02 2.955577900E-02 2.933411600E-02
320 2.940211400E-02 2.951630100E-02 2.918756100E-02 2.890868700E-02
325 2.818702700E-02 2.837438000E-02 2.806452800E-02 2.773114900E-02
330 2.605744000E-02 2.630848600E-02 2.479609000E-02 2.568516500E-02
335 2.247472500E-02 2.277028100E-02 2.132404900E-02 2.219470700E-02
340 1.559322000E-02 1.600152800E-02 1.464903100E-02 1.552463500E-02
