fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B106FE100_T 1317817251 0 555 6.830473960E-09 4.972160281E+00 2.449150645E-01 1.743308213E-03 1.000000000E+16 4.982133417E-04 
B106FE101_T 1317817251 0 555 6.883832202E-09 4.732176776E+00 2.827734438E-01 4.814362369E-03 1.000000000E+16 5.023652762E-04 
B106FE102_T 1317817251 0 555 7.203932795E-09 2.792862553E+00 1.351075084E-01 1.290492988E-03 1.000000000E+16 3.416235418E-04 
B106FE103_T 1317817251 0 555 7.831329113E-09 4.473164743E+00 3.433014427E-02 1.350604499E-02 1.000000000E+16 6.098033693E-04 
B106FE140_T 1317817251 0 555 6.833303552E-09 4.965179883E+00 2.736471178E-01 3.559556444E-03 1.000000000E+16 4.990708664E-04 
B106FE141_T 1317817251 0 555 6.910861381E-09 4.527040591E+00 2.341093613E-01 2.375100532E-03 1.000000000E+16 4.974869175E-04 
B106FE142_T 1317817251 0 555 7.307692289E-09 2.683545190E+00 1.865416945E-01 4.810330636E-03 1.000000000E+16 4.705624152E-04 
B106FE210_T 1317817251 0 555 6.837430946E-09 4.959483468E+00 2.506755433E-01 2.140561614E-03 1.000000000E+16 5.005438809E-04 
B106FE211_T 1317817251 0 555 6.942808252E-09 4.776153244E+00 2.325276998E-01 1.546325914E-03 1.000000000E+16 4.601527345E-04 
B106FE212_T 1317817251 0 555 7.396671348E-09 3.904338642E+00 2.016792898E-01 2.175556137E-03 1.000000000E+16 4.151537416E-04 
B106FE310_T 1317817251 0 555 6.843417730E-09 4.941938836E+00 2.550256409E-01 2.464066376E-03 1.000000000E+16 5.032361749E-04 
B106FE311_T 1317817251 0 555 6.986028249E-09 5.223554811E+00 3.140586518E-01 5.330538107E-03 1.000000000E+16 4.199257725E-04 
B106FE312_T 1317817251 0 555 7.490648853E-09 8.000000000E+00 3.887154547E-01 1.848335504E-03 1.000000000E+16 5.813993386E-04 
B106FE460_T 1317817251 0 555 6.852073346E-09 4.928391214E+00 2.345645686E-01 1.225113828E-03 1.000000000E+16 5.081933102E-04 
B106FE461_T 1317817251 0 555 7.043696310E-09 5.965995880E+00 3.076483563E-01 2.752389458E-03 1.000000000E+16 4.237096749E-04 
B106FE462_T 1317817251 0 555 7.593759701E-09 8.000000000E+00 3.811632072E-01 1.458584795E-03 1.000000000E+16 6.609421229E-04 
B106FE680_T 1317817251 0 555 6.865348097E-09 4.822896530E+00 2.701187746E-01 3.756984693E-03 1.000000000E+16 5.068175434E-04 
B106FE681_T 1317817251 0 555 7.114754268E-09 3.590647374E+00 1.769794602E-01 1.581926788E-03 1.000000000E+16 4.456415699E-04 
B106FE682_T 1317817251 0 555 7.700136944E-09 3.035682618E+00 6.367084765E-02 2.082095471E-03 1.000000000E+16 6.623241004E-04 
