N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 320 1.500E-4 1.226888146E+00 1.279281246E+00
1.468000E+10 1.000E+17 320 1.500E-4 1.250477057E+00 1.279290009E+00
2.154000E+10 1.000E+17 320 1.500E-4 1.259337191E+00 1.279969689E+00
3.162000E+10 1.000E+17 320 1.500E-4 1.266429201E+00 1.281244146E+00
4.642000E+10 1.000E+17 320 1.500E-4 1.272481289E+00 1.282646469E+00
6.813000E+10 1.000E+17 320 1.500E-4 1.277912908E+00 1.284765284E+00
1.000000E+11 1.000E+17 320 1.500E-4 1.282811123E+00 1.287335931E+00
1.468000E+11 1.000E+17 320 1.500E-4 1.287626989E+00 1.290579543E+00
2.154000E+11 1.000E+17 320 1.500E-4 1.292434662E+00 1.294314368E+00
3.162000E+11 1.000E+17 320 1.500E-4 1.297704990E+00 1.298903320E+00
4.642000E+11 1.000E+17 320 1.500E-4 1.303443756E+00 1.303700380E+00
6.813000E+11 1.000E+17 320 1.500E-4 1.308249416E+00 1.308320265E+00
1.000000E+12 1.000E+17 320 1.500E-4 1.312819954E+00 1.312807424E+00
1.468000E+12 1.000E+17 320 1.500E-4 1.317045237E+00 1.317249405E+00
2.154000E+12 1.000E+17 320 1.500E-4 1.321541782E+00 1.321826810E+00
3.162000E+12 1.000E+17 320 1.500E-4 1.326060624E+00 1.326308723E+00
4.642000E+12 1.000E+17 320 1.500E-4 1.329914122E+00 1.330226417E+00
6.813000E+12 1.000E+17 320 1.500E-4 1.326511982E+00 1.326731139E+00
1.000000E+13 1.000E+17 320 1.500E-4 1.324837021E+00 1.325072035E+00
