N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.000E+16 315 3.800E-4 3.791753E+1 1.771280E+1 5.749770E-1 8.124510E+1
1.468000E+10 1.000E+16 315 3.800E-4 3.785251E+1 1.766090E+1 5.743570E-1 8.123370E+1
2.154000E+10 1.000E+16 315 3.800E-4 3.776015E+1 1.758790E+1 5.734950E-1 8.121750E+1
3.162000E+10 1.000E+16 315 3.800E-4 3.763077E+1 1.748700E+1 5.723230E-1 8.119510E+1
4.642000E+10 1.000E+16 315 3.800E-4 3.745301E+1 1.735060E+1 5.707730E-1 8.116420E+1
6.813000E+10 1.000E+16 315 3.800E-4 3.721502E+1 1.717160E+1 5.687400E-1 8.112930E+1
1.000000E+11 1.000E+16 315 3.800E-4 3.690682E+1 1.693750E+1 5.662290E-1 8.104960E+1
1.468000E+11 1.000E+16 315 3.800E-4 3.652359E+1 1.666200E+1 5.633130E-1 8.098480E+1
2.154000E+11 1.000E+16 315 3.800E-4 3.606854E+1 1.634430E+1 5.600620E-1 8.090960E+1
3.162000E+11 1.000E+16 315 3.800E-4 3.555316E+1 1.599220E+1 5.564380E-1 8.083760E+1
4.642000E+11 1.000E+16 315 3.800E-4 3.499349E+1 1.560960E+1 5.526930E-1 8.070850E+1
6.813000E+11 1.000E+16 315 3.800E-4 3.440384E+1 1.522030E+1 5.487930E-1 8.061340E+1
1.000000E+12 1.000E+16 315 3.800E-4 3.379178E+1 1.481320E+1 5.447070E-1 8.047750E+1
1.468000E+12 1.000E+16 315 3.800E-4 3.315735E+1 1.440190E+1 5.405190E-1 8.035800E+1
2.154000E+12 1.000E+16 315 3.800E-4 3.249605E+1 1.397850E+1 5.360390E-1 8.024820E+1
3.162000E+12 1.000E+16 315 3.800E-4 3.180264E+1 1.353340E+1 5.314270E-1 8.007560E+1
4.642000E+12 1.000E+16 315 3.800E-4 3.107324E+1 1.308040E+1 5.265400E-1 7.994720E+1
6.813000E+12 1.000E+16 315 3.800E-4 3.030566E+1 1.260520E+1 5.215140E-1 7.975580E+1
1.000000E+13 1.000E+16 315 3.800E-4 2.949897E+1 1.212300E+1 5.162350E-1 7.960780E+1
1.468000E+13 1.000E+16 315 3.800E-4 2.865322E+1 1.162110E+1 5.108520E-1 7.939220E+1
2.154000E+13 1.000E+16 315 3.800E-4 2.776939E+1 1.111450E+1 5.052170E-1 7.922200E+1
3.162000E+13 1.000E+16 315 3.800E-4 2.684942E+1 1.059210E+1 4.995080E-1 7.897780E+1
4.642000E+13 1.000E+16 315 3.800E-4 2.589628E+1 1.006870E+1 4.935690E-1 7.877520E+1
6.813000E+13 1.000E+16 315 3.800E-4 2.491396E+1 9.535000E+0 4.875190E-1 7.850280E+1
1.000000E+14 1.000E+16 315 3.800E-4 2.390746E+1 9.000000E+0 4.813500E-1 7.820720E+1
