fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00T1 8:34 300.8 38.54 2.69E+00 6.96E-11 4.14E-06 1 2.708 6.90E+02 0 0 0 0 0 
00T2 8:52 303.4 38.21 2.76E+00 1.12E-10 5.03E-06 1 2.726 7.10E+02 0 0 0 0 0 
00T3 9:12 306.3 37.85 2.87E+00 1.76E-10 5.30E-06 1 2.663 7.12E+02 0 0 0 0 0 
00T4 9:30 309.1 37.51 3.28E+00 2.55E-10 5.08E-06 1 2.56 7.09E+02 0 0 0 0 0 
00T5 9:52 311.7 37.2 3.39E+00 3.85E-10 6.28E-06 1 2.583 7.33E+02 0 0 0 0 0 
00T6 10:11 315.2 36.78 4.07E+00 6.02E-10 7.55E-06 1 2.57 7.52E+02 0 0 0 0 0 
00T7 10:31 317.4 36.53 4.32E+00 9.72E-10 9.64E-06 1 2.637 7.75E+02 0 0 0 0 0 
00T8 10:53 320 36.23 5.33E+00 1.39E-09 9.17E-06 1 2.531 7.54E+02 0 0 0 0 0 
00T9 11:16 323 35.9 4.34E+00 2.34E-09 1.35E-05 1 2.659 8.12E+02 0 0 0 0 0 
0T10 11:37 326.1 35.55 4.99E+00 3.93E-09 2.07E-05 1 2.832 8.88E+02 0 0 0 0 0 
0T11 11:58 329.8 35.16 4.18E+00 6.07E-09 1.92E-05 1 2.657 8.47E+02 0 0 0 0 0 
0T12 12:17 333 34.82 4.52E+00 9.63E-09 2.46E-05 1 2.714 8.91E+02 0 0 0 0 0 
0T13 12:36 335.8 34.53 4.57E+00 1.37E-08 2.58E-05 1 2.656 8.71E+02 0 0 0 0 0 
0T14 12:58 338.2 34.28 4.53E+00 1.77E-08 2.53E-05 1 2.565 8.37E+02 0 0 0 0 0 
0T15 13:19 340.5 34.05 5.59E+00 2.59E-08 3.40E-05 1 2.699 9.12E+02 0 0 0 0 0 
