d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.199554798E+00 1.199009142E+00 5.456560000E-04 1.199505047E+00 1.198862936E+00 6.421110000E-04 4.975100000E-05 1.462060000E-04
150 295 1.189401049E+00 1.198735437E+00 -9.334388000E-03 1.189361157E+00 1.198604220E+00 -9.243063000E-03 3.989200000E-05 1.312170000E-04
150 300 1.166852052E+00 1.198209001E+00 -3.135694900E-02 1.166826986E+00 1.198090245E+00 -3.126325900E-02 2.506600000E-05 1.187560000E-04
150 305 1.120708885E+00 1.195833158E+00 -7.512427300E-02 1.120711853E+00 1.195726046E+00 -7.501419300E-02 -2.968000000E-06 1.071120000E-04
150 310 1.036878427E+00 1.188443255E+00 -1.515648280E-01 1.036932513E+00 1.188348114E+00 -1.514156010E-01 -5.408600000E-05 9.514100000E-05
150 315 1.017196158E+00 1.168060102E+00 -1.508639440E-01 1.017144709E+00 1.167986613E+00 -1.508419040E-01 5.144900000E-05 7.348900000E-05
150 320 1.019042292E+00 1.119935145E+00 -1.008928530E-01 1.018981715E+00 1.119910282E+00 -1.009285670E-01 6.057700000E-05 2.486300000E-05
150 325 1.023520807E+00 1.026137798E+00 -2.616991000E-03 1.023438283E+00 1.026204554E+00 -2.766271000E-03 8.252400000E-05 -6.675600000E-05
150 330 1.031529012E+00 1.016593927E+00 1.493508500E-02 1.031403175E+00 1.016498367E+00 1.490480800E-02 1.258370000E-04 9.556000000E-05
150 335 1.044075599E+00 1.019353907E+00 2.472169200E-02 1.043871642E+00 1.019240840E+00 2.463080200E-02 2.039570000E-04 1.130670000E-04
150 340 1.062008030E+00 1.025068491E+00 3.693953900E-02 1.061669884E+00 1.024916676E+00 3.675320800E-02 3.381460000E-04 1.518150000E-04
180 290 1.197534904E+00 1.196026265E+00 1.508639000E-03 1.197493201E+00 1.195907082E+00 1.586119000E-03 4.170300000E-05 1.191830000E-04
180 295 1.186822240E+00 1.196006700E+00 -9.184460000E-03 1.186788365E+00 1.195897379E+00 -9.109014000E-03 3.387500000E-05 1.093210000E-04
180 300 1.162953390E+00 1.195516001E+00 -3.256261100E-02 1.162932370E+00 1.195414930E+00 -3.248256000E-02 2.102000000E-05 1.010710000E-04
180 305 1.114279356E+00 1.192852018E+00 -7.857266200E-02 1.114284011E+00 1.192762050E+00 -7.847803900E-02 -4.655000000E-06 8.996800000E-05
180 310 1.026641294E+00 1.184454062E+00 -1.578127680E-01 1.026693308E+00 1.184372462E+00 -1.576791540E-01 -5.201400000E-05 8.160000000E-05
180 315 1.015510466E+00 1.161562834E+00 -1.460523680E-01 1.015470353E+00 1.161499728E+00 -1.460293750E-01 4.011300000E-05 6.310600000E-05
180 320 1.017361987E+00 1.108275062E+00 -9.091307500E-02 1.017314176E+00 1.108257555E+00 -9.094337900E-02 4.781100000E-05 1.750700000E-05
180 325 1.021681154E+00 1.014279743E+00 7.401411000E-03 1.021615343E+00 1.014209378E+00 7.405965000E-03 6.581100000E-05 7.036500000E-05
180 330 1.029368389E+00 1.015065112E+00 1.430327700E-02 1.029267164E+00 1.014990733E+00 1.427643100E-02 1.012250000E-04 7.437900000E-05
180 335 1.041454372E+00 1.017972597E+00 2.348177500E-02 1.041289134E+00 1.017882413E+00 2.340672100E-02 1.652380000E-04 9.018400000E-05
180 340 1.058844934E+00 1.023718819E+00 3.512611500E-02 1.058569227E+00 1.023595460E+00 3.497376700E-02 2.757070000E-04 1.233590000E-04
210 290 1.195581832E+00 1.193396631E+00 2.185201000E-03 1.195545236E+00 1.193297564E+00 2.247672000E-03 3.659600000E-05 9.906700000E-05
210 295 1.184562462E+00 1.193512715E+00 -8.950253000E-03 1.184532325E+00 1.193422146E+00 -8.889821000E-03 3.013700000E-05 9.056900000E-05
210 300 1.160057779E+00 1.193077631E+00 -3.301985200E-02 1.160039112E+00 1.192992252E+00 -3.295314000E-02 1.866700000E-05 8.537900000E-05
210 305 1.110267742E+00 1.190170629E+00 -7.990288700E-02 1.110272993E+00 1.190089939E+00 -7.981694600E-02 -5.251000000E-06 8.069000000E-05
210 310 1.021058192E+00 1.180906305E+00 -1.598481130E-01 1.021107938E+00 1.180833412E+00 -1.597254740E-01 -4.974600000E-05 7.289300000E-05
210 315 1.014219993E+00 1.155995639E+00 -1.417756460E-01 1.014187330E+00 1.155939375E+00 -1.417520450E-01 3.266300000E-05 5.626400000E-05
210 320 1.015984319E+00 1.098502196E+00 -8.251787700E-02 1.015945243E+00 1.098489701E+00 -8.254445800E-02 3.907600000E-05 1.249500000E-05
210 325 1.020081424E+00 1.012980044E+00 7.101380000E-03 1.020027325E+00 1.012923902E+00 7.103423000E-03 5.409900000E-05 5.614200000E-05
210 330 1.027370648E+00 1.013917762E+00 1.345288600E-02 1.027287138E+00 1.013857350E+00 1.342978800E-02 8.351000000E-05 6.041200000E-05
210 335 1.038901943E+00 1.016880322E+00 2.202162100E-02 1.038764525E+00 1.016805469E+00 2.195905600E-02 1.374180000E-04 7.485300000E-05
210 340 1.055646596E+00 1.022576335E+00 3.307026100E-02 1.055415949E+00 1.022472531E+00 3.294341800E-02 2.306470000E-04 1.038040000E-04
240 290 1.193985818E+00 1.191464727E+00 2.521091000E-03 1.193952635E+00 1.191378709E+00 2.573926000E-03 3.318300000E-05 8.601800000E-05
240 295 1.181679102E+00 1.191381206E+00 -9.702104000E-03 1.181651492E+00 1.191302348E+00 -9.650856000E-03 2.761000000E-05 7.885800000E-05
240 300 1.157044955E+00 1.190884783E+00 -3.383982800E-02 1.157027764E+00 1.190809982E+00 -3.378221800E-02 1.719100000E-05 7.480100000E-05
240 305 1.107138887E+00 1.187705477E+00 -8.056659000E-02 1.107144116E+00 1.187633856E+00 -8.048974000E-02 -5.229000000E-06 7.162100000E-05
240 310 1.017912044E+00 1.177696473E+00 -1.597844290E-01 1.017959385E+00 1.177629474E+00 -1.596700890E-01 -4.734100000E-05 6.699900000E-05
240 315 1.013164937E+00 1.151061130E+00 -1.378961930E-01 1.013137448E+00 1.151009441E+00 -1.378719930E-01 2.748900000E-05 5.168900000E-05
240 320 1.014835516E+00 1.090607940E+00 -7.577242400E-02 1.014802617E+00 1.090598735E+00 -7.579611800E-02 3.289900000E-05 9.205000000E-06
240 325 1.018667409E+00 1.011984781E+00 6.682628000E-03 1.018621927E+00 1.011938384E+00 6.683543000E-03 4.548200000E-05 4.639700000E-05
240 330 1.025513543E+00 1.013004784E+00 1.250875900E-02 1.025443193E+00 1.012954083E+00 1.248911000E-02 7.035000000E-05 5.070100000E-05
240 335 1.036434744E+00 1.015969280E+00 2.046546400E-02 1.036318702E+00 1.015905586E+00 2.041311600E-02 1.160420000E-04 6.369400000E-05
240 340 1.052457264E+00 1.021564531E+00 3.089273300E-02 1.052261259E+00 1.021475187E+00 3.078607200E-02 1.960050000E-04 8.934400000E-05
