fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
00T1 9:22 309.1 37.51 5.80E+00 5.10E-10 9.49E-06 1 2.757 8.00E+02 
00T2 9:41 313.8 36.95 6.68E+00 9.91E-10 8.34E-06 1 2.554 7.59E+02 
00T3 10:17 316.8 36.6 3.47E+00 1.80E-09 2.06E-05 1 3.015 9.42E+02 
00T4 10:34 319.5 36.29 3.73E+00 2.12E-09 1.10E-05 1 2.529 7.77E+02 
00T5 10:52 322.2 35.98 4.33E+00 3.07E-09 1.22E-05 1 2.513 7.75E+02 
00T6 11:9 324.6 35.72 4.99E+00 4.27E-09 1.37E-05 1 2.502 7.81E+02 
00T7 11:34 327.4 35.41 4.54E+00 5.62E-09 1.37E-05 1 2.42 7.67E+02 
00T8 11:57 330.6 35.07 5.84E+00 8.70E-09 1.40E-05 1 2.341 7.39E+02 
00T9 12:18 334.3 34.68 6.35E+00 1.43E-08 1.75E-05 1 2.351 7.41E+02 
0T10 12:35 338 34.3 6.70E+00 2.35E-08 2.74E-05 1 2.503 8.29E+02 
0T11 13:2 341.3 33.97 4.48E+00 3.54E-08 2.56E-05 1 2.36 7.46E+02 
