N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+15 300 1.500E-4 1.222674342E+00 1.226490329E+00
1.468000E+10 3.162E+15 300 1.500E-4 1.223838274E+00 1.226532807E+00
2.154000E+10 3.162E+15 300 1.500E-4 1.224708248E+00 1.226594799E+00
3.162000E+10 3.162E+15 300 1.500E-4 1.225372373E+00 1.226685072E+00
4.642000E+10 3.162E+15 300 1.500E-4 1.225906297E+00 1.226816069E+00
6.813000E+10 3.162E+15 300 1.500E-4 1.226375900E+00 1.227005219E+00
1.000000E+11 3.162E+15 300 1.500E-4 1.226841016E+00 1.227276376E+00
1.468000E+11 3.162E+15 300 1.500E-4 1.227359362E+00 1.227661215E+00
2.154000E+11 3.162E+15 300 1.500E-4 1.227989648E+00 1.228199907E+00
3.162000E+11 3.162E+15 300 1.500E-4 1.228792735E+00 1.228940317E+00
4.642000E+11 3.162E+15 300 1.500E-4 1.229829897E+00 1.229934668E+00
6.813000E+11 3.162E+15 300 1.500E-4 1.231158135E+00 1.231233706E+00
1.000000E+12 3.162E+15 300 1.500E-4 1.232824534E+00 1.232880216E+00
1.468000E+12 3.162E+15 300 1.500E-4 1.234846159E+00 1.234888274E+00
2.154000E+12 3.162E+15 300 1.500E-4 1.237276803E+00 1.237309631E+00
3.162000E+12 3.162E+15 300 1.500E-4 1.240121217E+00 1.240147616E+00
4.642000E+12 3.162E+15 300 1.500E-4 1.243409812E+00 1.243431569E+00
6.813000E+12 3.162E+15 300 1.500E-4 1.247075890E+00 1.247094345E+00
1.000000E+13 3.162E+15 300 1.500E-4 1.251080928E+00 1.251096818E+00
