Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.151946100E+00 1.182325005E+0 -3.037890500E-02 1.151946100E+00 1.182325005E+0 -3.037890500E-02
1.468000E+10 1.151972530E+00 1.100870872E+0 5.110165800E-02 1.151972530E+00 1.100870872E+0 5.110165800E-02
2.154000E+10 1.152010715E+00 1.055549947E+0 9.646076800E-02 1.152010715E+00 1.055549947E+0 9.646076800E-02
3.162000E+10 1.152066520E+00 1.030446474E+0 1.216200460E-01 1.152066520E+00 1.030446474E+0 1.216200460E-01
4.642000E+10 1.152146598E+00 1.016630682E+0 1.355159160E-01 1.152146598E+00 1.016630682E+0 1.355159160E-01
6.813000E+10 1.152261948E+00 1.009061729E+0 1.432002190E-01 1.152261948E+00 1.009061729E+0 1.432002190E-01
1.000000E+11 1.152426357E+00 1.004924275E+0 1.475020820E-01 1.152426357E+00 1.004924275E+0 1.475020820E-01
1.468000E+11 1.152656982E+00 1.002668870E+0 1.499881120E-01 1.152656982E+00 1.002668870E+0 1.499881120E-01
2.154000E+11 1.152974908E+00 1.001444309E+0 1.515305990E-01 1.152974908E+00 1.001444309E+0 1.515305990E-01
3.162000E+11 1.153402506E+00 1.000779371E+0 1.526231350E-01 1.153402506E+00 1.000779371E+0 1.526231350E-01
4.642000E+11 1.153957567E+00 1.000419653E+0 1.535379140E-01 1.153957567E+00 1.000419653E+0 1.535379140E-01
6.813000E+11 1.154649588E+00 1.000225610E+0 1.544239780E-01 1.154649588E+00 1.000225610E+0 1.544239780E-01
1.000000E+12 1.155469473E+00 1.000121048E+0 1.553484250E-01 1.155469473E+00 1.000121048E+0 1.553484250E-01
1.468000E+12 1.156387303E+00 1.000064813E+0 1.563224900E-01 1.156387303E+00 1.000064813E+0 1.563224900E-01
2.154000E+12 1.160293126E+00 1.000034668E+0 1.602584580E-01 1.160293126E+00 1.000034668E+0 1.602584580E-01
3.162000E+12 1.166894765E+00 1.000018499E+0 1.668762660E-01 1.166894765E+00 1.000018499E+0 1.668762660E-01
4.642000E+12 1.167593725E+00 1.000009854E+0 1.675838710E-01 1.167593725E+00 1.000009854E+0 1.675838710E-01
6.813000E+12 1.168112578E+00 1.000005243E+0 1.681073350E-01 1.168112578E+00 1.000005243E+0 1.681073350E-01
1.000000E+13 1.168752900E+00 1.000002785E+0 1.687501150E-01 1.168752900E+00 1.000002785E+0 1.687501150E-01
