N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.174801303E+00 1.171281866E+00 1.168737101E+00 1.166647050E+00
1.600000000E+01 1.235192477E+00 1.233730731E+00 1.233148797E+00 1.232585427E+00
1.700000000E+01 1.274637556E+00 1.274638087E+00 1.274450148E+00 1.274322365E+00
1.549996187E+01 1.216628591E+00 1.214594183E+00 1.213223536E+00 1.211961600E+00
1.649996187E+01 1.246418888E+00 1.245641658E+00 1.245577150E+00 1.245629656E+00
1.674996808E+01 1.256863488E+00 1.256685601E+00 1.256333180E+00 1.256559649E+00
1.624993176E+01 1.241181822E+00 1.240079505E+00 1.239742085E+00 1.239659374E+00
1.574996808E+01 1.226021974E+00 1.224265913E+00 1.223199625E+00 1.222425320E+00
1.524993176E+01 1.205843751E+00 1.203707470E+00 1.201783050E+00 1.200273320E+00
