fname V Rs Rt Qt nt Rr Qr nr rmsre
d54cm1V2n1 -1.2 6.2723902E+0 2.8710707E+3 1.2165524E-9 1.0000000E+0 1.9902174E+5 2.8281290E-10 9.9000394E-1 2.7442071E-2
d54cm1Vn1 -1 6.3133054E+0 2.6037981E+3 1.2794863E-9 1.0000000E+0 2.2345424E+5 3.1625986E-10 9.8990794E-1 2.4594052E-2
d54cm0V8n1 -0.8 6.4563617E+0 2.3581005E+3 1.3561657E-9 1.0000000E+0 2.4776239E+5 3.5095336E-10 9.9150099E-1 2.7909812E-2
d54cm0V6n1 -0.6 6.4476323E+0 2.0644494E+3 1.4465105E-9 1.0000000E+0 2.8064765E+5 4.0600510E-10 9.9164826E-1 3.4532865E-2
d54cm0V4n1 -0.4 6.4220155E+0 1.7488682E+3 1.5632134E-9 1.0000000E+0 2.8749844E+5 5.0050719E-10 9.8923634E-1 3.1788550E-2
d54cm0V2n1 -0.2 6.4808829E+0 1.4501693E+3 1.7212726E-9 1.0000000E+0 2.4793210E+5 6.3369926E-10 9.8865236E-1 3.0255474E-2
d54cm0V2n1 -0.2 6.4808829E+0 1.4501693E+3 1.7212726E-9 1.0000000E+0 2.4793210E+5 6.3369926E-10 9.8865236E-1 3.0255474E-2
d54c0Vn1 0 6.0489030E+0 1.0443330E+3 1.9419074E-9 1.0000000E+0 7.3541074E+4 1.0024603E-9 9.7875817E-1 1.1385718E-2
d54c0V2n1 0.2 4.3467256E+0 5.7170296E+2 3.2874814E-9 9.7765424E-1 6.7621914E+2 3.8584138E-9 9.6863456E-1 5.0038171E-3
d54c0V4n1 0.4 4.3872918E+0 2.1886665E+2 3.8593858E-9 9.7673748E-1 1.4363429E+2 1.7718584E-8 8.7267170E-1 1.8077074E-3
