N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 9.085000000E-06 8.724000000E-06 8.509000000E-06 8.388000000E-06
1.600000000E+01 5.469800000E-05 5.442300000E-05 5.425700000E-05 5.415000000E-05
1.700000000E+01 2.289750000E-04 2.290170000E-04 2.291840000E-04 2.298450000E-04
1.549996187E+01 2.378800000E-05 2.332300000E-05 2.303700000E-05 2.290000000E-05
1.649996187E+01 1.158150000E-04 1.157660000E-04 1.159470000E-04 1.160240000E-04
1.674996808E+01 1.652300000E-04 1.653770000E-04 1.653340000E-04 1.652590000E-04
1.624993176E+01 7.956000000E-05 7.940500000E-05 7.932500000E-05 7.929000000E-05
1.574996808E+01 3.646500000E-05 3.605100000E-05 3.577900000E-05 3.576100000E-05
1.524993176E+01 1.463100000E-05 1.421900000E-05 1.397900000E-05 1.384600000E-05
