fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 48858 295.1 39.29 1.304823083E-06 4.869126639E+00 2.086515239E+04 6.449785761E-05 3.000152220E+00 2.899473898E+03 0.000000000E+00 2.448544881E-04 5.027274664E-01 2.298281439E-04 4.263933982E-05 3.690410258E-01 2.832474197E-01 1.505374343E-04 8.663998028E-03 
00L2 49382 298.1 38.9 2.499200850E-09 3.130572623E+00 7.442441108E+03 7.491312883E-05 3.913848311E+00 2.629015881E+03 0.000000000E+00 2.543129139E-04 4.961272757E-01 2.310816518E-04 4.334268311E-05 3.780569493E-01 2.841884307E-01 1.525138902E-04 4.872541464E-03 
00L3 49916 301 38.51 1.219036235E-08 3.413011974E+00 8.345136333E+03 8.674628105E-05 3.714144426E+00 2.244749748E+03 0.000000000E+00 2.512175483E-04 4.908212283E-01 2.313912481E-04 4.362483562E-05 3.841170077E-01 2.852235726E-01 1.529496150E-04 2.588439285E-03 
00L4 50442 304.1 38.13 1.741220967E-08 3.444748357E+00 8.635067800E+03 1.059096973E-04 3.873761327E+00 1.996587049E+03 0.000000000E+00 2.507730311E-04 4.857504009E-01 2.319735916E-04 4.389627872E-05 3.895614650E-01 2.854142350E-01 1.537984912E-04 4.784512116E-03 
00L5 50956 307 37.76 1.670144111E-08 3.380660750E+00 8.369150825E+03 1.230621489E-04 3.945871538E+00 1.764918229E+03 0.000000000E+00 2.508747331E-04 4.803413516E-01 2.326090985E-04 4.413665417E-05 3.950233193E-01 2.857621011E-01 1.544524414E-04 2.891040596E-03 
00L6 51652 310 37.4 1.178270464E-08 3.270311730E+00 8.134857586E+03 1.569830800E-04 4.505192422E+00 1.626999507E+03 0.000000000E+00 2.519576841E-04 4.757195529E-01 2.331266239E-04 4.425160590E-05 3.990121861E-01 2.854404493E-01 1.550292049E-04 4.548318441E-03 
00L7 52318 313 37.04 1.626991653E-08 3.280567427E+00 8.647408376E+03 1.879506185E-04 4.778873847E+00 1.488749513E+03 0.000000000E+00 2.511614386E-04 4.699403630E-01 2.333597307E-04 4.427887517E-05 4.037643000E-01 2.840496133E-01 1.558843001E-04 7.791514680E-03 
00L8 52990 316 36.69 3.728521459E-08 3.430424874E+00 9.154818459E+03 2.147792821E-04 4.646041938E+00 1.315815520E+03 0.000000000E+00 2.504549150E-04 4.651148318E-01 2.339328960E-04 4.420603799E-05 4.062843621E-01 2.828875490E-01 1.562671745E-04 4.834281143E-03 
00L9 53670 319 36.34 6.879993126E-08 3.551383230E+00 9.107857702E+03 2.349986536E-04 4.297528119E+00 1.136238277E+03 0.000000000E+00 2.495943196E-04 4.608174217E-01 2.340257378E-04 4.398471234E-05 4.078582423E-01 2.822044799E-01 1.558611414E-04 3.497828519E-03 
0L10 54346 322 36 6.754559269E-08 3.474896506E+00 9.817483561E+03 2.938308926E-04 5.076917049E+00 1.090382407E+03 0.000000000E+00 2.500910503E-04 4.547743816E-01 2.345284529E-04 4.387838365E-05 4.113950770E-01 2.792417041E-01 1.571340634E-04 1.972949649E-03 
0L11 55012 325 35.67 1.151723351E-07 3.590815433E+00 1.136562349E+04 3.727059848E-04 5.632294701E+00 1.045685020E+03 0.000000000E+00 2.495192682E-04 4.500054576E-01 2.341847613E-04 4.355135498E-05 4.132617962E-01 2.767411662E-01 1.573721596E-04 3.536451578E-03 
0L12 55682 328 35.35 6.327476030E-07 3.925045557E+00 1.389457674E+04 3.489997535E-04 4.323851440E+00 8.426273329E+02 0.000000000E+00 2.468882373E-04 4.446992664E-01 2.342145001E-04 4.309252768E-05 4.137345389E-01 2.741988762E-01 1.571579296E-04 2.906678334E-03 
0L13 56370 331 35.02 1.378784554E-06 4.052173362E+00 1.771912311E+04 4.069721932E-04 4.465773229E+00 7.735224683E+02 0.000000000E+00 2.453799203E-04 4.394158339E-01 2.337575711E-04 4.265350643E-05 4.152535472E-01 2.711277618E-01 1.573188453E-04 7.264899882E-03 
0L14 57038 334 34.71 2.334898613E-06 4.160443600E+00 1.958647980E+04 4.601118433E-04 4.436585400E+00 7.055827004E+02 0.000000000E+00 2.452481512E-04 4.338595797E-01 2.340807552E-04 4.204655541E-05 4.140144714E-01 2.676961916E-01 1.570681867E-04 1.885216884E-03 
0L15 57700 337 34.4 4.619127724E-07 3.636505795E+00 1.343144208E+04 5.443977718E-04 5.999916814E+00 6.936211928E+02 0.000000000E+00 2.466950804E-04 4.271800321E-01 2.335407276E-04 4.165966168E-05 4.175823806E-01 2.650562477E-01 1.571729097E-04 1.068163603E-02 
0L16 58358 340 34.1 3.574934688E-06 4.162934606E+00 2.497105806E+04 6.535587229E-04 5.348851168E+00 6.481178371E+02 0.000000000E+00 2.436471792E-04 4.226732252E-01 2.329937030E-04 4.082154747E-05 4.145152783E-01 2.611095523E-01 1.563387747E-04 3.988301007E-03 
