N_Fe Time N_B T d Jsc Eta Voc FF Vm Jm
1.000000E+11 40 1.400E+15 340 3.800E-4 5.742287E-1 1.935470E+1 3.716400E-1 7.255570E+1 2.964090E-1 5.223814E-1
1.000000E+12 40 1.400E+15 340 3.800E-4 4.631875E-1 1.314340E+1 3.210230E-1 7.071400E+1 2.533390E-1 4.150463E-1
1.000000E+13 40 1.400E+15 340 3.800E-4 3.000351E-1 6.938900E+0 2.738120E-1 6.757020E+1 2.109480E-1 2.631505E-1
1.000000E+14 40 1.400E+15 340 3.800E-4 1.469922E-1 2.447300E+0 2.153820E-1 6.184060E+1 1.589100E-1 1.232045E-1
1.000000E+11 140 1.400E+15 340 3.800E-4 5.756176E-1 1.946390E+1 3.722900E-1 7.266170E+1 2.971870E-1 5.239520E-1
1.000000E+12 140 1.400E+15 340 3.800E-4 4.667007E-1 1.329770E+1 3.220400E-1 7.078140E+1 2.544350E-1 4.181100E-1
1.000000E+13 140 1.400E+15 340 3.800E-4 3.041993E-1 7.075200E+0 2.750210E-1 6.765610E+1 2.121080E-1 2.668535E-1
1.000000E+14 140 1.400E+15 340 3.800E-4 1.499700E-1 2.520600E+0 2.169490E-1 6.197830E+1 1.602470E-1 1.258378E-1
1.000000E+11 240 1.400E+15 340 3.800E-4 5.768040E-1 1.955830E+1 3.728310E-1 7.275830E+1 2.978810E-1 5.252675E-1
1.000000E+12 240 1.400E+15 340 3.800E-4 4.697991E-1 1.344510E+1 3.229400E-1 7.089570E+1 2.553050E-1 4.213034E-1
1.000000E+13 240 1.400E+15 340 3.800E-4 3.078987E-1 7.197200E+0 2.760930E-1 6.773160E+1 2.131730E-1 2.700991E-1
1.000000E+14 240 1.400E+15 340 3.800E-4 1.526491E-1 2.587000E+0 2.183400E-1 6.209580E+1 1.614820E-1 1.281644E-1
1.000000E+11 340 1.400E+15 340 3.800E-4 5.778154E-1 1.963980E+1 3.732830E-1 7.284510E+1 2.984950E-1 5.263692E-1
1.000000E+12 340 1.400E+15 340 3.800E-4 4.725166E-1 1.356600E+1 3.237330E-1 7.094780E+1 2.559370E-1 4.240432E-1
1.000000E+13 340 1.400E+15 340 3.800E-4 3.111647E-1 7.305600E+0 2.770400E-1 6.779790E+1 2.141400E-1 2.729296E-1
1.000000E+14 340 1.400E+15 340 3.800E-4 1.550410E-1 2.646600E+0 2.195690E-1 6.219650E+1 1.626090E-1 1.302088E-1
1.000000E+11 440 1.400E+15 340 3.800E-4 5.786761E-1 1.970980E+1 3.736600E-1 7.292250E+1 2.990350E-1 5.272920E-1
1.000000E+12 440 1.400E+15 340 3.800E-4 4.748883E-1 1.367210E+1 3.244280E-1 7.099290E+1 2.565060E-1 4.264100E-1
1.000000E+13 440 1.400E+15 340 3.800E-4 3.140315E-1 7.408300E+0 2.778710E-1 6.791970E+1 2.150070E-1 2.756502E-1
1.000000E+14 440 1.400E+15 340 3.800E-4 1.571616E-1 2.699800E+0 2.206180E-1 6.229160E+1 1.636270E-1 1.319963E-1
1.000000E+11 540 1.400E+15 340 3.800E-4 5.794076E-1 1.976990E+1 3.739750E-1 7.299080E+1 2.995070E-1 5.280653E-1
1.000000E+12 540 1.400E+15 340 3.800E-4 4.769486E-1 1.376460E+1 3.250340E-1 7.103210E+1 2.570140E-1 4.284477E-1
1.000000E+13 540 1.400E+15 340 3.800E-4 3.165349E-1 7.492200E+0 2.785970E-1 6.796760E+1 2.155430E-1 2.780781E-1
1.000000E+14 540 1.400E+15 340 3.800E-4 1.590295E-1 2.746800E+0 2.215140E-1 6.237980E+1 1.645410E-1 1.335518E-1
1.000000E+11 640 1.400E+15 340 3.800E-4 5.800284E-1 1.982130E+1 3.742390E-1 7.305060E+1 2.999180E-1 5.287134E-1
1.000000E+12 640 1.400E+15 340 3.800E-4 4.787314E-1 1.384500E+1 3.255600E-1 7.106590E+1 2.574640E-1 4.301965E-1
1.000000E+13 640 1.400E+15 340 3.800E-4 3.187108E-1 7.565300E+0 2.792290E-1 6.800780E+1 2.160170E-1 2.801737E-1
1.000000E+14 640 1.400E+15 340 3.800E-4 1.606656E-1 2.791700E+0 2.222900E-1 6.253430E+1 1.652430E-1 1.351570E-1
1.000000E+11 740 1.400E+15 340 3.800E-4 5.805548E-1 1.986520E+1 3.744600E-1 7.310280E+1 3.002730E-1 5.292569E-1
1.000000E+12 740 1.400E+15 340 3.800E-4 4.802683E-1 1.391460E+1 3.260150E-1 7.109510E+1 2.578610E-1 4.316935E-1
1.000000E+13 740 1.400E+15 340 3.800E-4 3.205942E-1 7.628700E+0 2.797760E-1 6.804140E+1 2.164340E-1 2.819766E-1
1.000000E+14 740 1.400E+15 340 3.800E-4 1.620912E-1 2.827800E+0 2.229610E-1 6.259710E+1 1.657380E-1 1.364964E-1
1.000000E+11 840 1.400E+15 340 3.800E-4 5.810007E-1 1.990250E+1 3.746460E-1 7.314800E+1 3.005790E-1 5.297130E-1
1.000000E+12 840 1.400E+15 340 3.800E-4 4.815892E-1 1.397460E+1 3.264070E-1 7.112020E+1 2.582080E-1 4.329721E-1
