T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.220638804E+00 1.234717115E+00 1.248137001E+00 1.262116136E+00 1.278992254E+00 1.296831334E+00 1.316636613E+00 1.338641675E+00 1.362691626E+00
295 1.217190826E+00 1.233312500E+00 1.247207008E+00 1.261085153E+00 1.277505587E+00 1.294797509E+00 1.314333060E+00 1.336131921E+00 1.360157814E+00
300 1.211091533E+00 1.231769711E+00 1.246877633E+00 1.260718821E+00 1.276861577E+00 1.293654803E+00 1.312889531E+00 1.334305687E+00 1.358122269E+00
305 1.198910376E+00 1.228722981E+00 1.246467392E+00 1.260972780E+00 1.276512121E+00 1.293482321E+00 1.312150673E+00 1.333297349E+00 1.356741693E+00
310 1.174941001E+00 1.222289000E+00 1.245480374E+00 1.261524395E+00 1.277324168E+00 1.294225615E+00 1.312400364E+00 1.333120269E+00 1.356320838E+00
315 1.130670405E+00 1.208931524E+00 1.242631484E+00 1.261832389E+00 1.278613354E+00 1.295477686E+00 1.313516085E+00 1.333874747E+00 1.356832155E+00
320 1.056576175E+00 1.182823650E+00 1.235906574E+00 1.261385486E+00 1.279930719E+00 1.297398463E+00 1.315399953E+00 1.335548290E+00 1.358191600E+00
325 1.023686146E+00 1.135868433E+00 1.221882755E+00 1.258762051E+00 1.280969378E+00 1.299473338E+00 1.317868897E+00 1.337968475E+00 1.360597610E+00
330 1.024870089E+00 1.060132800E+00 1.194925199E+00 1.252054019E+00 1.279528363E+00 1.301634415E+00 1.320854839E+00 1.341218819E+00 1.363465817E+00
335 1.028170906E+00 1.020045492E+00 1.147534067E+00 1.237988733E+00 1.277227759E+00 1.303289960E+00 1.323845528E+00 1.344704596E+00 1.366976783E+00
340 1.033820678E+00 1.020961997E+00 1.072668267E+00 1.211431627E+00 1.270770062E+00 1.303618802E+00 1.326582825E+00 1.348308921E+00 1.370905510E+00
