fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0610U040 1389014749 0 555 1.061253567E+19 1.000000000E+02 3.779821945E-04 6.567175076E-01 7.578875876E+02 1.379056153E-03 
L0610U060 1389014697 0 555 8.972017254E+18 1.000000000E+02 3.615662151E-04 6.525242250E-01 6.569064617E+02 1.900464405E-03 
L0610U075 1389014652 0 555 8.276407816E+18 1.000000000E+02 3.567139512E-04 6.505701208E-01 6.145593564E+02 1.732539844E-03 
L0610U090 1389014616 0 555 8.561138481E+18 1.000000000E+02 3.590226409E-04 6.494432744E-01 5.913921785E+02 1.782327574E-03 
L0610U100 1389014479 0 555 8.754713719E+18 1.000000000E+02 3.592807714E-04 6.488735163E-01 5.800128685E+02 1.780756503E-03 
L0610U115 1389014442 0 555 9.285413477E+18 1.000000000E+02 3.630125602E-04 6.459055400E-01 5.241828258E+02 2.787849574E-03 
W70S05 1389015067 0 555 4.873027747E+18 1.000000000E+02 3.298509667E-04 6.503165396E-01 6.092680053E+02 1.316077564E-03 
W70S10 1389014884 0 555 7.184927510E+18 1.000000000E+02 3.471961834E-04 6.524724284E-01 6.557471943E+02 1.543944642E-03 
W70S15 1389014841 0 555 8.895458768E+18 1.000000000E+02 3.606225942E-04 6.542510519E-01 6.967505558E+02 1.642787743E-03 
W70S20 1389014803 0 555 9.702888694E+18 1.000000000E+02 3.639684774E-04 6.548673250E-01 7.115479052E+02 1.901033741E-03 
