fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_325 001_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.945010949E-14 1.000000000E+20 1.152548020E+00 3.275226399E-15 1.104678807E-04 
001_325_SRH 001_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.342919333E-14 1.000000000E+20 1.231951126E+00 2.676343569E-15 1.472771537E-04 
002_325 002_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.936341594E-14 1.000000000E+20 1.161235204E+00 4.545433719E-15 1.097448661E-04 
002_325_SRH 002_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.375707459E-14 1.000000000E+20 1.232759431E+00 3.918934015E-15 1.504426007E-04 
003_325 003_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.349979667E-14 1.000000000E+20 1.184464355E+00 6.284937108E-15 9.687208383E-05 
003_325_SRH 003_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.825889383E-14 1.000000000E+20 1.233893726E+00 5.733068565E-15 1.550436187E-04 
004_325 004_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.296086736E-14 1.000000000E+20 1.202626613E+00 8.868164471E-15 1.014582225E-04 
004_325_SRH 004_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.826285332E-14 1.000000000E+20 1.235456628E+00 8.376942042E-15 1.617026858E-04 
005_325 005_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.191581322E-13 1.000000000E+20 1.213996012E+00 1.264747151E-14 1.161549981E-04 
005_325_SRH 005_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.522383448E-14 1.000000000E+20 1.237554708E+00 1.222237640E-14 1.712773215E-04 
006_325 006_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.536186817E-13 1.000000000E+20 1.230866623E+00 1.817585935E-14 1.433674499E-04 
006_325_SRH 006_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.305315333E-13 1.000000000E+20 1.240276674E+00 1.780454078E-14 1.849183654E-04 
007_325 007_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.972249255E-13 1.000000000E+20 1.239109242E+00 2.620614782E-14 1.713929967E-04 
007_325_SRH 007_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.752651306E-13 1.000000000E+20 1.243656539E+00 2.589569499E-14 2.041044652E-04 
008_325 008_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.506501121E-13 1.000000000E+20 1.244790692E+00 3.789785891E-14 2.026807001E-04 
008_325_SRH 008_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.300367687E-13 1.000000000E+20 1.247636694E+00 3.761669334E-14 2.306258772E-04 
009_325 009_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.143035490E-13 1.000000000E+20 1.250177756E+00 5.486185655E-14 2.423287400E-04 
009_325_SRH 009_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.951210122E-13 1.000000000E+20 1.252048488E+00 5.460593896E-14 2.664817959E-04 
010_325 010_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.886629218E-13 1.000000000E+20 1.257129157E+00 7.980385251E-14 2.974552505E-04 
010_325_SRH 010_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.709085283E-13 1.000000000E+20 1.257695623E+00 7.946035598E-14 3.156863560E-04 
011_325 011_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.750059146E-13 1.000000000E+20 1.261649050E+00 1.157164239E-13 3.580781496E-04 
011_325_SRH 011_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.586532325E-13 1.000000000E+20 1.263070057E+00 1.156677821E-13 3.714624895E-04 
012_325 012_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.760692817E-13 1.000000000E+20 1.267079371E+00 1.685436456E-13 4.329592209E-04 
012_325_SRH 012_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.608481882E-13 1.000000000E+20 1.267873657E+00 1.684585007E-13 4.447515367E-04 
013_325 013_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.952731815E-13 1.000000000E+20 1.270013652E+00 2.449149201E-13 5.187231186E-04 
013_325_SRH 013_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.810066421E-13 1.000000000E+20 1.270376207E+00 2.447500703E-13 5.288216838E-04 
014_325 014_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.374057487E-13 1.000000000E+20 1.272643724E+00 3.564353972E-13 6.228048110E-04 
014_325_SRH 014_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.238897418E-13 1.000000000E+20 1.272855937E+00 3.562672163E-13 6.326119258E-04 
015_325 015_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.007665231E-12 1.000000000E+20 1.275465773E+00 5.202614810E-13 7.502651602E-04 
015_325_SRH 015_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.947423328E-13 1.000000000E+20 1.275577821E+00 5.200700430E-13 7.600364068E-04 
016_325 016_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.211608494E-12 1.000000000E+20 1.277495514E+00 7.595638183E-13 8.972456730E-04 
016_325_SRH 016_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.199162261E-12 1.000000000E+20 1.277560813E+00 7.593653546E-13 9.069966173E-04 
017_325 017_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.455916832E-12 1.000000000E+20 1.279499171E+00 1.110453075E-12 1.071310126E-03 
017_325_SRH 017_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.443618582E-12 1.000000000E+20 1.279377997E+00 1.110357075E-12 1.083558126E-03 
018_325 018_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.755857437E-12 1.000000000E+20 1.291983849E+00 1.635720430E-12 1.302484761E-03 
018_325_SRH 018_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.744051622E-12 1.000000000E+20 1.292175001E+00 1.635920295E-12 1.312145868E-03 
019_325 019_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.088872295E-12 1.000000000E+20 1.286120342E+00 2.398512234E-12 1.955856555E-03 
019_325_SRH 019_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.077670759E-12 1.000000000E+20 1.286358251E+00 2.398445347E-12 1.963663000E-03 
