fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0420S01U 1385470662 0 555 5.265523898E+18 6.547284229E-07 3.900000000E-04 6.660000000E-01 1.526167244E-03 
L0420S05U 1385470713 0 555 2.006507279E+19 1.465244748E-06 3.900000000E-04 6.660000000E-01 1.920846023E-03 
L0420S10U 1385471280 0 555 2.597812159E+19 2.536273968E-06 3.900000000E-04 6.660000000E-01 1.623855717E-03 
L0420S20U 1385470800 0 555 3.162696330E+19 1.597871890E-05 3.900000000E-04 6.660000000E-01 3.559069663E-03 
L0421S30U 1385581207 0 555 2.956552787E+19 5.002069949E-06 3.900000000E-04 6.660000000E-01 1.883308545E-03 
W65S03U 1385582087 0 555 3.971697222E+18 6.550841239E-07 3.900000000E-04 6.660000000E-01 1.325041943E-03 
W65S05U 1385581929 0 555 6.539765984E+18 6.816707450E-07 3.900000000E-04 6.660000000E-01 1.669581389E-03 
W65S10U 1385581462 0 555 1.398050500E+19 9.678101267E-07 3.900000000E-04 6.660000000E-01 1.902931673E-03 
W65S20U 1385581547 0 555 2.180900380E+19 1.545709731E-06 3.900000000E-04 6.660000000E-01 1.544257736E-03 
W65S25U 1385582304 0 555 2.304436720E+19 1.821859117E-06 3.900000000E-04 6.660000000E-01 1.502333013E-03 
W65S30U 1385582030 0 555 2.686904162E+19 2.913138649E-06 3.900000000E-04 6.660000000E-01 1.996062462E-03 
