fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B315FE100_T 1317817142 0 555 5.325742541E-04 1.763241461E+00 5.628251434E-01 3.173079211E-02 3.162000000E+15 2.804641170E-03 
B315FE101_T 1317817142 0 555 5.361342947E-04 1.689982322E+00 9.054970433E-01 5.407358720E-02 3.162000000E+15 2.516916564E-03 
B315FE102_T 1317817142 0 555 5.499579127E-04 1.580355449E+00 1.996297375E-01 8.933228205E-03 3.162000000E+15 2.992249968E-03 
B315FE103_T 1317817142 0 555 5.999254683E-04 1.051544104E+00 3.206117269E-01 1.840693604E-02 3.162000000E+15 9.338220245E-04 
B315FE140_T 1317817142 0 555 5.326251954E-04 1.759628049E+00 9.347615970E-01 5.573883526E-02 3.162000000E+15 2.826132765E-03 
B315FE141_T 1317817142 0 555 5.363778941E-04 1.682615075E+00 3.370564654E-01 1.743053788E-02 3.162000000E+15 2.526270468E-03 
B315FE142_T 1317817142 0 555 5.596183671E-04 1.386693187E+00 9.120173344E-01 5.549637762E-02 3.162000000E+15 1.943152779E-03 
B315FE210_T 1317817142 0 555 5.327932842E-04 1.759485031E+00 2.439237277E-01 1.116958525E-02 3.162000000E+15 2.806836200E-03 
B315FE211_T 1317817142 0 555 5.379031012E-04 1.658123309E+00 8.124559180E-01 4.818288099E-02 3.162000000E+15 2.471484673E-03 
B315FE212_T 1317817142 0 555 5.676669702E-04 1.311823340E+00 8.041199184E-01 4.878011259E-02 3.162000000E+15 1.683559913E-03 
B315FE310_T 1317817142 0 555 5.332922890E-04 1.746119793E+00 5.901940878E-01 3.355181647E-02 3.162000000E+15 2.753074599E-03 
B315FE311_T 1317817142 0 555 5.394854766E-04 1.681539948E+00 4.954893671E-01 2.767421759E-02 3.162000000E+15 2.468445503E-03 
B315FE312_T 1317817142 0 555 5.812624515E-04 9.733186538E-01 4.586749397E-01 2.753022541E-02 3.162000000E+15 1.120053542E-03 
B315FE460_T 1317817142 0 555 5.343044244E-04 1.715693967E+00 8.394997713E-01 4.973102049E-02 3.162000000E+15 2.631283713E-03 
B315FE461_T 1317817142 0 555 5.435893697E-04 1.501525608E+00 1.945969060E-01 8.826441122E-03 3.162000000E+15 3.464078309E-03 
B315FE462_T 1317817142 0 555 5.860467200E-04 9.874635286E-01 1.824644814E-01 9.676460787E-03 3.162000000E+15 1.157077247E-03 
B315FE680_T 1317817142 0 555 5.352221565E-04 1.699427342E+00 6.693873916E-01 3.880802043E-02 3.162000000E+15 2.567017170E-03 
B315FE681_T 1317817142 0 555 5.470728792E-04 1.524708479E+00 6.421013785E-01 3.763633071E-02 3.162000000E+15 3.604546122E-03 
B315FE682_T 1317817142 0 555 5.950727322E-04 1.013693904E+00 5.885827175E-01 3.580096520E-02 3.162000000E+15 8.419143208E-04 
