N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.028704284E+00 1.025929335E+00 1.023548161E+00 1.021557423E+00
1.600000000E+01 1.256021076E+00 1.253866024E+00 1.250868635E+00 1.251253901E+00
1.700000000E+01 1.344160453E+00 1.342668085E+00 1.341209904E+00 1.340967782E+00
1.549996187E+01 1.071533813E+00 1.070582910E+00 1.074704451E+00 1.079473919E+00
1.649996187E+01 1.302555453E+00 1.301606913E+00 1.300313012E+00 1.299455823E+00
1.674996808E+01 1.323334748E+00 1.320850184E+00 1.320258314E+00 1.319361119E+00
1.624993176E+01 1.282967455E+00 1.281109949E+00 1.279613049E+00 1.278314680E+00
1.574996808E+01 1.202771251E+00 1.200733430E+00 1.200293981E+00 1.201336899E+00
1.524993176E+01 1.015322685E+00 1.013869802E+00 1.012761213E+00 1.011916233E+00
