Ytrue Ypred RSE
10900000000.000004 10652008448.000000 0.000530
16720000000.000015 16657765376.000000 0.000014
25650000000.000019 24963172352.000000 0.000737
39340000000.000008 38323535872.000000 0.000685
60349999999.999916 59448295424.000000 0.000227
92579999999.999817 95783108608.000000 0.001157
141999999999.999786 142684880896.000000 0.000023
217799999999.999634 212448346112.000000 0.000619
334099999999.999878 325683970048.000000 0.000651
512599999999.999268 499149602816.000000 0.000707
786300000000.000488 799245860864.000000 0.000267
1206000000000.002441 1224485240832.000000 0.000231
1849999999999.999756 1905304797184.000000 0.000868
2837999999999.995605 3054858403840.000000 0.005424
4352999999999.993652 4495851913216.000000 0.001043
6677999999999.995117 6819486367744.000000 0.000440
10240000000000.013672 9526331834368.000000 0.005221
15710000000000.021484 14170659487744.000000 0.010644
24100000000000.046875 23147740921856.000000 0.001625
36969999999999.984375 34559280283648.000000 0.004549
56720000000000.085938 52842731667456.000000 0.005016
86999999999999.937500 79918620737536.000000 0.007212
10900000000.000004 10674369536.000000 0.000438
16720000000.000015 16859725824.000000 0.000069
25650000000.000019 25458692096.000000 0.000056
39340000000.000008 39838035968.000000 0.000158
60349999999.999916 60391034880.000000 0.000000
92579999999.999817 96189276160.000000 0.001463
141999999999.999786 142443823104.000000 0.000010
217799999999.999634 212791508992.000000 0.000541
334099999999.999878 321656913920.000000 0.001441
512599999999.999268 502219309056.000000 0.000419
786300000000.000488 799621513216.000000 0.000282
1206000000000.002441 1253101404160.000000 0.001468
1849999999999.999756 1959454703616.000000 0.003305
2837999999999.995605 3053758447616.000000 0.005371
4352999999999.993652 4374805872640.000000 0.000025
6677999999999.995117 6750414569472.000000 0.000116
10240000000000.013672 10212911087616.000000 0.000007
15710000000000.021484 15404304957440.000000 0.000386
24100000000000.046875 23293472014336.000000 0.001159
36969999999999.984375 34968449318912.000000 0.003099
56720000000000.085938 52778835640320.000000 0.005189
86999999999999.937500 81161023913984.000000 0.004828
10900000000.000004 11258592256.000000 0.001048
16720000000.000015 17099957248.000000 0.000505
25650000000.000019 25523345408.000000 0.000025
39340000000.000008 36607496192.000000 0.005185
60349999999.999916 57503350784.000000 0.002335
92579999999.999817 95425789952.000000 0.000917
141999999999.999786 139879432192.000000 0.000226
217799999999.999634 203202494464.000000 0.004815
334099999999.999878 304944971776.000000 0.008343
512599999999.999268 521912811520.000000 0.000324
786300000000.000488 789590310912.000000 0.000017
1206000000000.002441 1185733279744.000000 0.000287
1849999999999.999756 1665538850816.000000 0.011043
2837999999999.995605 2685031415808.000000 0.003071
4352999999999.993652 4516076847104.000000 0.001353
6677999999999.995117 6757859983360.000000 0.000141
10240000000000.013672 9738348658688.000000 0.002524
15710000000000.021484 15668050132992.000000 0.000007
24100000000000.046875 27138816212992.000000 0.014119
36969999999999.984375 42539256119296.000000 0.019722
56720000000000.085938 63224330321920.000000 0.011797
86999999999999.937500 88243458539520.000000 0.000201
