Ytrue Ypred RSE
681299999999.999756 661989818368.000000 0.000827
464200000000.000854 443818442752.000000 0.002016
68129999999.999977 68897193984.000000 0.000125
1467999999999.998779 1386034888704.000000 0.003302
14679999999999.988281 14681291882496.000000 0.000000
68129999999.999977 74322034688.000000 0.007572
146799999999.999878 143007645696.000000 0.000685
10000000000000.000000 9339745075200.000000 0.004668
215400000000.000427 208777658368.000000 0.000975
681299999999.999756 714320773120.000000 0.002240
14679999999999.988281 16615169064960.000000 0.015353
100000000000000.000000 82637687357440.000000 0.036479
1000000000000.000000 973721567232.000000 0.000709
2154000000000.004395 2380054659072.000000 0.009968
46420000000.000084 46227537920.000000 0.000017
31620000000.000057 31415828480.000000 0.000042
68129999999999.976562 60754426331136.000000 0.013142
10000000000000.000000 10350020788224.000000 0.001184
68129999999.999977 63731159040.000000 0.004456
3162000000000.005859 3059745816576.000000 0.001081
100000000000.000000 99313074176.000000 0.000048
6812999999999.998047 6814606295040.000000 0.000000
316200000000.000610 312763023360.000000 0.000119
14679999999999.988281 15054676164608.000000 0.000635
14679999999999.988281 14832296263680.000000 0.000107
21540000000000.042969 21838553939968.000000 0.000189
4642000000000.007812 4686842167296.000000 0.000092
3162000000000.005859 3093851799552.000000 0.000475
316200000000.000610 314575912960.000000 0.000027
68129999999999.976562 94469005246464.000000 0.107788
68129999999999.976562 57887867011072.000000 0.026598
10000000000000.000000 9330725224448.000000 0.004801
10000000000000.000000 10714715521024.000000 0.004767
31620000000000.058594 36425630220288.000000 0.020051
14679999999.999989 14038871040.000000 0.001994
681299999999.999756 672641384448.000000 0.000164
1000000000000.000000 1021535584256.000000 0.000454
316200000000.000610 323983474688.000000 0.000591
21540000000.000042 21776250880.000000 0.000119
68129999999999.976562 54835923648512.000000 0.047306
21540000000.000042 21015480320.000000 0.000608
10000000000000.000000 8750364622848.000000 0.017846
464200000000.000854 489081896960.000000 0.002727
3162000000000.005859 3106166276096.000000 0.000317
10000000000.000000 10328859648.000000 0.001047
31620000000.000057 33454688256.000000 0.003182
