Ytrue Ypred RSE
10249999999.999996 9925006336.000000 0.001038
16189999999.999996 15804717056.000000 0.000580
25579999999.999954 24880424960.000000 0.000769
40410000000.000038 39516102656.000000 0.000500
63840000000.000061 59146203136.000000 0.005835
100899999999.999847 101156413440.000000 0.000006
159299999999.999695 154045415424.000000 0.001125
251700000000.000458 248803164160.000000 0.000134
397700000000.000305 387801677824.000000 0.000635
628200000000.000244 634084196352.000000 0.000087
992500000000.002075 1010132451328.000000 0.000310
1568000000000.001709 1560562499584.000000 0.000023
2476999999999.996094 2557771251712.000000 0.001030
3913000000000.007324 4071509983232.000000 0.001577
6182000000000.003906 6075936407552.000000 0.000299
9765999999999.990234 9261869432832.000000 0.002810
15430000000000.023438 14976794230784.000000 0.000889
24370000000000.042969 24232088043520.000000 0.000032
38509999999999.960938 36699816067072.000000 0.002319
60830000000000.117188 57032774254592.000000 0.004156
96100000000000.171875 89995494817792.000000 0.004309
10249999999.999996 10065100800.000000 0.000331
16189999999.999996 15975694336.000000 0.000178
25579999999.999954 24757854208.000000 0.001067
40410000000.000038 39481839616.000000 0.000540
63840000000.000061 61817843712.000000 0.001036
100899999999.999847 107960320000.000000 0.004576
159299999999.999695 156291170304.000000 0.000364
251700000000.000458 245478637568.000000 0.000626
397700000000.000305 390214025216.000000 0.000361
628200000000.000244 654789967872.000000 0.001719
992500000000.002075 1031992770560.000000 0.001523
1568000000000.001709 1561501761536.000000 0.000017
2476999999999.996094 2488343199744.000000 0.000021
3913000000000.007324 3704921260032.000000 0.002987
6182000000000.003906 6051674980352.000000 0.000454
9765999999999.990234 9510822346752.000000 0.000701
15430000000000.023438 14481365139456.000000 0.004027
24370000000000.042969 22999891705856.000000 0.003349
38509999999999.960938 35453084368896.000000 0.006844
60830000000000.117188 56041702162432.000000 0.006726
96100000000000.171875 87777697857536.000000 0.008211
10249999999.999996 10189815808.000000 0.000035
16189999999.999996 16051932160.000000 0.000073
25579999999.999954 24665765888.000000 0.001325
40410000000.000038 39449427968.000000 0.000579
63840000000.000061 60111208448.000000 0.003623
100899999999.999847 105105752064.000000 0.001668
159299999999.999695 156339224576.000000 0.000352
251700000000.000458 244302561280.000000 0.000890
397700000000.000305 384192544768.000000 0.001194
628200000000.000244 643982622720.000000 0.000616
992500000000.002075 1029026086912.000000 0.001306
1568000000000.001709 1581568884736.000000 0.000074
2476999999999.996094 2697329115136.000000 0.007266
3913000000000.007324 3609867845632.000000 0.006505
6182000000000.003906 5694179770368.000000 0.006760
9765999999999.990234 9233358651392.000000 0.003146
15430000000000.023438 14460774252544.000000 0.004210
24370000000000.042969 22932768161792.000000 0.003696
38509999999999.960938 35639718313984.000000 0.006003
60830000000000.117188 55059870121984.000000 0.009941
96100000000000.171875 87845570084864.000000 0.008071
10249999999.999996 10221235200.000000 0.000008
16189999999.999996 16348793856.000000 0.000095
25579999999.999954 25515331584.000000 0.000006
40410000000.000038 39822991360.000000 0.000214
63840000000.000061 61451468800.000000 0.001454
100899999999.999847 103562952704.000000 0.000679
159299999999.999695 156589703168.000000 0.000294
251700000000.000458 241950277632.000000 0.001561
397700000000.000305 381963370496.000000 0.001630
628200000000.000244 646022168576.000000 0.000783
992500000000.002075 1060975476736.000000 0.004453
1568000000000.001709 1654715318272.000000 0.002898
2476999999999.996094 2956406554624.000000 0.031385
3913000000000.007324 4385116520448.000000 0.012990
6182000000000.003906 5338026737664.000000 0.021585
9765999999999.990234 8223978946560.000000 0.029606
15430000000000.023438 13499114717184.000000 0.017900
24370000000000.042969 21722904395776.000000 0.013236
38509999999999.960938 34749829611520.000000 0.010565
60830000000000.117188 54115321249792.000000 0.013697
96100000000000.171875 89185943814144.000000 0.005578
10249999999.999996 10114664448.000000 0.000177
16189999999.999996 16536146944.000000 0.000448
25579999999.999954 25952821248.000000 0.000209
40410000000.000038 39781302272.000000 0.000246
63840000000.000061 61736312832.000000 0.001123
100899999999.999847 99325288448.000000 0.000247
159299999999.999695 156166979584.000000 0.000395
251700000000.000458 237633110016.000000 0.003308
397700000000.000305 388022304768.000000 0.000607
628200000000.000244 656318791680.000000 0.001918
992500000000.002075 1062434897920.000000 0.004638
1568000000000.001709 1728972980224.000000 0.009558
2476999999999.996094 3046504660992.000000 0.042980
3913000000000.007324 4526710456320.000000 0.021263
6182000000000.003906 5792817741824.000000 0.004229
9765999999999.990234 8503166500864.000000 0.019204
15430000000000.023438 13343357140992.000000 0.021148
24370000000000.042969 21062651740160.000000 0.021310
38509999999999.960938 34116143677440.000000 0.014695
60830000000000.117188 52831247663104.000000 0.019908
96100000000000.171875 88449877016576.000000 0.006885
10249999999.999996 9673747456.000000 0.003349
16189999999.999996 16375777280.000000 0.000130
25579999999.999954 25710780416.000000 0.000026
40410000000.000038 39581237248.000000 0.000429
63840000000.000061 59300704256.000000 0.005443
100899999999.999847 95201001472.000000 0.003381
159299999999.999695 153102499840.000000 0.001575
251700000000.000458 245164032000.000000 0.000692
397700000000.000305 372729675776.000000 0.004206
628200000000.000244 618612981760.000000 0.000237
992500000000.002075 974335442944.000000 0.000341
1568000000000.001709 1549080461312.000000 0.000147
2476999999999.996094 2789467750400.000000 0.014131
3913000000000.007324 4157512351744.000000 0.003675
6182000000000.003906 6546088525824.000000 0.003276
9765999999999.990234 10076445212672.000000 0.000979
15430000000000.023438 15527858667520.000000 0.000040
24370000000000.042969 23954752274432.000000 0.000295
38509999999999.960938 36853986099200.000000 0.001932
60830000000000.117188 55274169696256.000000 0.009180
96100000000000.171875 86639799959552.000000 0.010749
10249999999.999996 9948616704.000000 0.000891
16189999999.999996 15695323136.000000 0.000963
25579999999.999954 24079691776.000000 0.003654
40410000000.000038 39709732864.000000 0.000306
63840000000.000061 58831695872.000000 0.006678
100899999999.999847 99319611392.000000 0.000249
159299999999.999695 155979169792.000000 0.000444
251700000000.000458 247907123200.000000 0.000231
397700000000.000305 384163020800.000000 0.001199
628200000000.000244 628034043904.000000 0.000000
992500000000.002075 1001089794048.000000 0.000074
1568000000000.001709 1531986837504.000000 0.000540
2476999999999.996094 2498763161600.000000 0.000077
3913000000000.007324 3898038026240.000000 0.000015
6182000000000.003906 5636728291328.000000 0.008532
9765999999999.990234 8425011412992.000000 0.021856
15430000000000.023438 13851707834368.000000 0.011655
24370000000000.042969 22245411913728.000000 0.008326
38509999999999.960938 35060715618304.000000 0.008812
60830000000000.117188 53175411277824.000000 0.018114
96100000000000.171875 82041014059008.000000 0.025070
10249999999.999996 10514753536.000000 0.000650
16189999999.999996 15798922240.000000 0.000598
25579999999.999954 24728840192.000000 0.001145
40410000000.000038 40606261248.000000 0.000023
63840000000.000061 59141398528.000000 0.005847
100899999999.999847 101894127616.000000 0.000096
159299999999.999695 156490006528.000000 0.000317
251700000000.000458 249987186688.000000 0.000047
397700000000.000305 390073516032.000000 0.000375
628200000000.000244 636444475392.000000 0.000170
992500000000.002075 1004141281280.000000 0.000136
1568000000000.001709 1534582849536.000000 0.000464
2476999999999.996094 2562459959296.000000 0.001151
