N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+16 290 2.100E-4 1.234927090E+00 1.244184917E+00
1.468000E+10 3.162E+16 290 2.100E-4 1.238038498E+00 1.244658046E+00
2.154000E+10 3.162E+16 290 2.100E-4 1.240199020E+00 1.244826160E+00
3.162000E+10 3.162E+16 290 2.100E-4 1.242070932E+00 1.245400721E+00
4.642000E+10 3.162E+16 290 2.100E-4 1.243794284E+00 1.246186172E+00
6.813000E+10 3.162E+16 290 2.100E-4 1.245680618E+00 1.247449125E+00
1.000000E+11 3.162E+16 290 2.100E-4 1.247764726E+00 1.249057208E+00
1.468000E+11 3.162E+16 290 2.100E-4 1.250079270E+00 1.251043492E+00
2.154000E+11 3.162E+16 290 2.100E-4 1.252717587E+00 1.253454685E+00
3.162000E+11 3.162E+16 290 2.100E-4 1.255856167E+00 1.256436140E+00
4.642000E+11 3.162E+16 290 2.100E-4 1.259444778E+00 1.259913842E+00
6.813000E+11 3.162E+16 290 2.100E-4 1.263458413E+00 1.263842990E+00
1.000000E+12 3.162E+16 290 2.100E-4 1.267870909E+00 1.268194959E+00
1.468000E+12 3.162E+16 290 2.100E-4 1.272667159E+00 1.272944063E+00
2.154000E+12 3.162E+16 290 2.100E-4 1.277747404E+00 1.277983519E+00
3.162000E+12 3.162E+16 290 2.100E-4 1.283135683E+00 1.283337155E+00
4.642000E+12 3.162E+16 290 2.100E-4 1.288814099E+00 1.288985707E+00
6.813000E+12 3.162E+16 290 2.100E-4 1.294760441E+00 1.294906113E+00
1.000000E+13 3.162E+16 290 2.100E-4 1.300943656E+00 1.301066867E+00
